regon;nazwa;pkd07
18102367300021;Dariusz Kwaterczak DAREX                                                                                                ;4711Z
29093126800030;JAGUSIŃSKI WŁODZIMIERZ F.H.U. 'WLODEX'                                                                                  ;4789Z
93002624100038;"JANUSZ HOBLER ""UNISAN""                                                                                                  ";2229Z
93211485400060;"""LABOR"" SWTP INVESTMENT ARTUR ZGÓRSKI                                                                                   ";6820Z
38190299000033;DHAKA STAR KEBAB MD MEHEDI HASAN                                                                                        ;5610A
32078038400047;SALON FRYZJERSKI VINTAGE                                                                                                ;9602Z
10058795300167;DIWA KATARZYNA STOPCZYŃSKA                                                                                              ;4778Z
22186662000022;LUX-TAP RADOSŁAW OWERKO                                                                                                 ;1812Z
27676691700027;"SADOWSKI MIROSŁAW ""MIR-MARZ""                                                                                            ";4520Z
12126085900031;AKWA-PRO.PL Paweł Kołba                                                                                                 ;4778Z
10078717800064;ORIENT EXPRESS MAGDALENA WYPYCH                                                                                         ;5610A
36439905200016;Roman Wojtak ROM-MED                                                                                                    ;8690C
36452859000019;OSTEOMED KOSZALIN KAMIL DUDA                                                                                            ;8690A
36454557100014;Seweryn Szymański                                                                                                       ;4719Z
63034878700052;NURSE PRYWATNA PRAKTYKA PIELĘGNIARSKA MAŁGORZATA RAJCZAK                                                                ;8690C
69175785400021;STALBUDOWA KAZEX Andrzej Bajor w restrukturyzacji                                                                       ;4120Z
19275009000020;ABMAR JACEK TRUSZKOWSKI                                                                                                 ;5610A
06038995900031;PIOTR PTASZEK AUTO-KOMIS                                                                                                ;4511Z
36168151700010;OPOS Paweł Krzemień                                                                                                     ;4531Z
36189552000049;P.U.H. HERING Patryk Hering * Foodmarc S.C. Marek Lipski, Patryk Hering                                                 ;5610A
12004449600044;MAREK JASIŃSKI AKCJA SERCA                                                                                              ;9602Z
22170290000050;"DOROTA MACIEJEWSKA: BALTIC FOOD; MISTER TWISTER (wspólnik spółki cywilnej)                                              ";5610A
30154451400044;SIM-SAT SZYMON STASIAK                                                                                                  ;4719Z
36168509900014;FIRMA HANDLOWO USŁUGOWA PAWEŁ DREWICZ                                                                                   ;4711Z
57013083000023;SŁAWOMIR SPORYSZ AUTO-HANDEL                                                                                            ;4519Z
19202056800033;AGENCJA G.A. GRZEGORZ BUDNY                                                                                             ;5610A
30038294300025;Usługi Transportowo-Warsztatowe Maćkowiak Artur                                                                         ;4931Z
30169668400033;MONIKA KALISZAN STYLOVNIA                                                                                               ;9602Z
