pkd_2007;nazwa;pkd_2007_value_to_check
47.91;Sprzedaż detaliczna artykułów używanych prowadzona w wyspecjalizowanych sklepach;4791
49.41;Transport drogowy towarów;4941
41.20;Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych;4120
93.19;Pozostała działalność związana ze sportem;9319
96.02;Fryzjerstwo i pozostałe zabiegi kosmetyczne;9602
56.10;Restauracje i pozostałe placówki gastronomiczne;5610
43.39;Wykonywanie pozostałych robót budowlanych wykończeniowych;4339
47.99;Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami;4799
85.51;Pozaszkolne formy edukacji sportowej oraz zajęć sportowych i rekreacyjnych;8551
52.29;Pozostała działalność usługowa wspomagająca transport;5229
49.32;Działalność taksówek osobowych;4932
45.20;Konserwacja i naprawa pojazdów samochodowych, z wyłączeniem motocykli;4520
82.99;Pozostała działalność wspomagająca prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowana;8299
86.90;Pozostała działalność w zakresie opieki zdrowotnej;8690
82.19;Wykonywanie fotokopii, przygotowywanie dokumentów i pozostała specjalistyczna działalność wspomagająca prowadzenie biura;8219
47.89;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;4789
47.82;Sprzedaż detaliczna wyrobów tekstylnych, odzieży i obuwia prowadzona na straganach i targowiskach;4782
43.99;Pozostałe specjalistyczne roboty budowlane, gdzie indziej niesklasyfikowane;4399
32.99;Produkcja pozostałych wyrobów, gdzie indziej niesklasyfikowana;3299
74.10;Działalność w zakresie specjalistycznego projektowania;7410
25.61;Obróbka metali i nakładanie powłok na metale;2561
74.20;Działalność fotograficzna;7420
47.19;Pozostała sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach;4719
68.20;Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi;6820
14.13;Produkcja pozostałej odzieży wierzchniej;1413
47.59;Sprzedaż detaliczna mebli, sprzętu oświetleniowego i pozostałych artykułów użytku domowego prowadzona w wyspecjalizowanych sklepach;4759
46.38;Sprzedaż hurtowa pozostałej żywności, włączając ryby, skorupiaki i mięczaki;4638
45.11;Sprzedaż hurtowa i detaliczna samochodów osobowych i furgonetek;4511
68.31;Pośrednictwo w obrocie nieruchomościami;6831
18.12;Pozostałe drukowanie;1812
42.11;Roboty związane z budową dróg i autostrad;4211
63.12;Działalność portali internetowych;6312
85.10;Placówki wychowania przedszkolnego;8510
01.49;Chów i hodowla pozostałych zwierząt;149
47.11;Sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach z przewagą żywności, napojów i wyrobów tytoniowych;4711
49.39;Pozostały transport lądowy pasażerski, gdzie indziej niesklasyfikowany;4939
81.21;Niespecjalistyczne sprzątanie budynków i obiektów przemysłowych;8121
35.11;Wytwarzanie energii elektrycznej;3511
16.24;Produkcja opakowań drewnianych;1624
16.23;Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa;1623
74.90;Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana;7490
22.29;Produkcja pozostałych wyrobów z tworzyw sztucznych;2229
96.01;Pranie i czyszczenie wyrobów włókienniczych i futrzarskich;9601
