regon;nazwa;pkd_glowne;pkdn7
36239527400000;DK AUTO SPÓŁKA CYWILNA                               ;4511Z;4511Z
36239527400000;DK AUTO SPÓŁKA CYWILNA                               ;4511Z;4519Z
36239527400000;DK AUTO SPÓŁKA CYWILNA                               ;4511Z;4520Z
36239527400000;DK AUTO SPÓŁKA CYWILNA                               ;4511Z;4531Z
36239527400000;DK AUTO SPÓŁKA CYWILNA                               ;4511Z;4532Z
36239527400000;DK AUTO SPÓŁKA CYWILNA                               ;4511Z;4540Z
36239527400000;DK AUTO SPÓŁKA CYWILNA                               ;4511Z;4671Z
36239527400000;DK AUTO SPÓŁKA CYWILNA                               ;4511Z;4941Z
36239527400000;DK AUTO SPÓŁKA CYWILNA                               ;4511Z;5221Z
36239853900000;Marian Miśniak PHU Bsmart                            ;4719Z;1392Z
36239853900000;Marian Miśniak PHU Bsmart                            ;4719Z;4719Z
36239853900000;Marian Miśniak PHU Bsmart                            ;4719Z;6492Z
36239853900000;Marian Miśniak PHU Bsmart                            ;4719Z;9512Z
36240072700000;FIRMA HANDLOWA Michał Konopacki                      ;4779Z;4754Z
36240072700000;FIRMA HANDLOWA Michał Konopacki                      ;4779Z;4779Z
36240072700000;FIRMA HANDLOWA Michał Konopacki                      ;4779Z;4791Z
36240072700000;FIRMA HANDLOWA Michał Konopacki                      ;4779Z;4941Z
36240072700000;FIRMA HANDLOWA Michał Konopacki                      ;4779Z;4942Z
36936739300000;Tomasz Pińkowski                                     ;3514Z;4619Z
36936739300000;Tomasz Pińkowski                                     ;3514Z;4719Z
36936739300000;Tomasz Pińkowski                                     ;3514Z;4939Z
36936739300000;Tomasz Pińkowski                                     ;3514Z;4941Z
36936739300000;Tomasz Pińkowski                                     ;3514Z;5320Z
36936739300000;Tomasz Pińkowski                                     ;3514Z;7490Z
36936739300000;Tomasz Pińkowski                                     ;3514Z;8810Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;4742Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;4743Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;4791Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;4799Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;3514Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;4331Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;4333Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;4334Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;4339Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;4711Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;6110Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;4719Z
36240132000000;Tomasz Pińkowski                                     ;3514Z;4741Z
36240202800000;Aneta Wiśniewska-Popiel Firma Handlowo Usługowa ARWENA                                                                  ;4791Z;1624Z
