,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31007000000,31008000000,31009000000
2016-01-02,120.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-03,122.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,141.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,173.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,152.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,201.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,182.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-09,173.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-10,137.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,223.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,190.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,198.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,234.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,208.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-16,182.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-17,150.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-18,212.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,197.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,194.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,208.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,198.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-23,163.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-24,137.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,182.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,162.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,149.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,145.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,143.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30,128.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31,112.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,147.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,131.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,135.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,139.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,152.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-06,130.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-07,109.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,125.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,130.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,143.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,147.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,159.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-13,142.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-14,124.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-15,149.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,155.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,144.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,155.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,166.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-20,130.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-21,109.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,124.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,141.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,145.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,155.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,154.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-27,144.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-28,129.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,140.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,154.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-02,154.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-03,163.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-04,167.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-05,133.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-06,117.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-07,157.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-08,162.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-09,160.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-10,154.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,153.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-12,136.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-13,125.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-14,156.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,142.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-16,158.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-17,150.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-18,146.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-19,136.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-20,119.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-21,155.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-22,162.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-23,165.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-24,161.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-25,154.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-26,129.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-27,98.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-28,104.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-29,137.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-30,160.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,164.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,152.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-02,153.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-03,126.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-04,169.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-05,169.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-06,154.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-07,148.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-08,168.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-09,148.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-10,131.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11,168.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-12,180.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-13,182.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-14,175.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-15,194.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-16,165.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-17,139.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-18,168.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-19,138.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-20,146.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-21,165.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-22,153.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-23,154.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-24,129.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-25,172.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-26,155.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-27,160.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-28,156.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-29,170.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-30,139.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,126.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-02,144.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-03,132.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-04,161.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-05,173.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-06,168.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-07,138.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-08,125.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,159.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,162.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-11,173.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-12,162.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-13,169.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-14,139.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-15,113.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-16,134.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-17,150.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-18,176.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-19,175.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-20,173.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-21,147.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-22,128.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-23,158.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-24,169.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-25,179.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-26,131.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-27,173.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-28,178.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-29,134.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-30,162.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-31,201.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,185.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-02,175.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-03,170.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-04,184.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-05,141.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-06,168.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-07,214.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-08,174.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-09,198.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-10,160.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-11,169.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-12,142.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-13,167.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-14,188.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-15,237.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-16,188.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-17,160.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
