,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31007000000,31008000000,31009000000
04-01-2016,133.22,0,0,0,0,0,0,0,0,0
05-01-2016,136.7,0,0,0,0,0,0,0,0,0
07-01-2016,138.77,0,0,0,0,0,0,0,0,0
08-01-2016,142.58,0,0,0,0,0,0,0,0,0
11-01-2016,141.59,0,0,0,0,0,0,0,0,0
12-01-2016,141.86,0,0,0,0,0,0,0,0,0
13-01-2016,140.19,0,0,0,0,0,0,0,0,0
14-01-2016,140.2,0,0,0,0,0,0,0,0,0
15-01-2016,139.93,0,0,0,0,0,0,0,0,0
18-01-2016,142.13,0,0,0,0,0,0,0,0,0
19-01-2016,144.05,0,0,0,0,0,0,0,0,0
20-01-2016,142.88,0,0,0,0,0,0,0,0,0
21-01-2016,144.79,0,0,0,0,0,0,0,0,0
22-01-2016,145.59,0,0,0,0,0,0,0,0,0
25-01-2016,144.63,0,0,0,0,0,0,0,0,0
26-01-2016,147.11,0,0,0,0,0,0,0,0,0
27-01-2016,148.48,0,0,0,0,0,0,0,0,0
28-01-2016,147.67,0,0,0,0,0,0,0,0,0
29-01-2016,146.4,0,0,0,0,0,0,0,0,0
01-02-2016,145.58,0,0,0,0,0,0,0,0,0
02-02-2016,147.19,0,0,0,0,0,0,0,0,0
03-02-2016,146.33,0,0,0,0,0,0,0,0,0
04-02-2016,146.78,0,0,0,0,0,0,0,0,0
05-02-2016,146.83,0,0,0,0,0,0,0,0,0
08-02-2016,145.81,0,0,0,0,0,0,0,0,0
09-02-2016,151.62,0,0,0,0,0,0,0,0,0
10-02-2016,152.28,0,0,0,0,0,0,0,0,0
11-02-2016,150.68,0,0,0,0,0,0,0,0,0
12-02-2016,156.48,0,0,0,0,0,0,0,0,0
15-02-2016,155.75,0,0,0,0,0,0,0,0,0
16-02-2016,152.37,0,0,0,0,0,0,0,0,0
17-02-2016,153.24,0,0,0,0,0,0,0,0,0
18-02-2016,153.39,0,0,0,0,0,0,0,0,0
19-02-2016,153.37,0,0,0,0,0,0,0,0,0
22-02-2016,156.46,0,0,0,0,0,0,0,0,0
23-02-2016,153.39,0,0,0,0,0,0,0,0,0
24-02-2016,155.79,0,0,0,0,0,0,0,0,0
25-02-2016,160.05,0,0,0,0,0,0,0,0,0
26-02-2016,157.79,0,0,0,0,0,0,0,0,0
29-02-2016,155.93,0,0,0,0,0,0,0,0,0
01-03-2016,158.54,0,0,0,0,0,0,0,0,0
02-03-2016,158.74,0,0,0,0,0,0,0,0,0
03-03-2016,158.81,0,0,0,0,0,0,0,0,0
04-03-2016,160.02,0,0,0,0,0,0,0,0,0
07-03-2016,162.41,0,0,0,0,0,0,0,0,0
08-03-2016,161.06,0,0,0,0,0,0,0,0,0
09-03-2016,160.24,0,0,0,0,0,0,0,0,0
10-03-2016,157.86,0,0,0,0,0,0,0,0,0
11-03-2016,160.11,0,0,0,0,0,0,0,0,0
14-03-2016,158.18,0,0,0,0,0,0,0,0,0
15-03-2016,153.73,0,0,0,0,0,0,0,0,0
16-03-2016,153.09,0,0,0,0,0,0,0,0,0
17-03-2016,153.06,0,0,0,0,0,0,0,0,0
18-03-2016,154.89,0,0,0,0,0,0,0,0,0
21-03-2016,152.51,0,0,0,0,0,0,0,0,0
22-03-2016,151.47,0,0,0,0,0,0,0,0,0
23-03-2016,153.05,0,0,0,0,0,0,0,0,0
24-03-2016,148.81,0,0,0,0,0,0,0,0,0
25-03-2016,150.13,0,0,0,0,0,0,0,0,0
29-03-2016,149.87,0,0,0,0,0,0,0,0,0
30-03-2016,149.94,0,0,0,0,0,0,0,0,0
31-03-2016,149.04,0,0,0,0,0,0,0,0,0
01-04-2016,149.5,0,0,0,0,0,0,0,0,0
04-04-2016,145.13,0,0,0,0,0,0,0,0,0
05-04-2016,146.11,0,0,0,0,0,0,0,0,0
06-04-2016,147.82,0,0,0,0,0,0,0,0,0
07-04-2016,147.3,0,0,0,0,0,0,0,0,0
08-04-2016,149.43,0,0,0,0,0,0,0,0,0
11-04-2016,150.24,0,0,0,0,0,0,0,0,0
12-04-2016,151.63,0,0,0,0,0,0,0,0,0
13-04-2016,151.23,0,0,0,0,0,0,0,0,0
14-04-2016,151.27,0,0,0,0,0,0,0,0,0
15-04-2016,151.44,0,0,0,0,0,0,0,0,0
18-04-2016,150.6,0,0,0,0,0,0,0,0,0
19-04-2016,150.82,0,0,0,0,0,0,0,0,0
20-04-2016,153.07,0,0,0,0,0,0,0,0,0
21-04-2016,152.31,0,0,0,0,0,0,0,0,0
22-04-2016,152.53,0,0,0,0,0,0,0,0,0
25-04-2016,153.48,0,0,0,0,0,0,0,0,0
26-04-2016,155.19,0,0,0,0,0,0,0,0,0
27-04-2016,155.43,0,0,0,0,0,0,0,0,0
28-04-2016,155.6,0,0,0,0,0,0,0,0,0
29-04-2016,156.25,0,0,0,0,0,0,0,0,0
02-05-2016,160.14,0,0,0,0,0,0,0,0,0
04-05-2016,157.9,0,0,0,0,0,0,0,0,0
05-05-2016,157.99,0,0,0,0,0,0,0,0,0
06-05-2016,158.36,0,0,0,0,0,0,0,0,0
09-05-2016,160.51,0,0,0,0,0,0,0,0,0
10-05-2016,157.55,0,0,0,0,0,0,0,0,0
11-05-2016,157.74,0,0,0,0,0,0,0,0,0
12-05-2016,159.5,0,0,0,0,0,0,0,0,0
13-05-2016,159.63,0,0,0,0,0,0,0,0,0
16-05-2016,157.81,0,0,0,0,0,0,0,0,0
17-05-2016,159.68,0,0,0,0,0,0,0,0,0
18-05-2016,158.11,0,0,0,0,0,0,0,0,0
19-05-2016,159.65,0,0,0,0,0,0,0,0,0
20-05-2016,156.92,0,0,0,0,0,0,0,0,0
23-05-2016,158.69,0,0,0,0,0,0,0,0,0
24-05-2016,158.29,0,0,0,0,0,0,0,0,0
25-05-2016,158.24,0,0,0,0,0,0,0,0,0
27-05-2016,155.72,0,0,0,0,0,0,0,0,0
30-05-2016,154.03,0,0,0,0,0,0,0,0,0
31-05-2016,154.33,0,0,0,0,0,0,0,0,0
01-06-2016,153.42,0,0,0,0,0,0,0,0,0
02-06-2016,153.66,0,0,0,0,0,0,0,0,0
03-06-2016,152.82,0,0,0,0,0,0,0,0,0
06-06-2016,157.06,0,0,0,0,0,0,0,0,0
07-06-2016,154.41,0,0,0,0,0,0,0,0,0
08-06-2016,152.81,0,0,0,0,0,0,0,0,0
09-06-2016,154.93,0,0,0,0,0,0,0,0,0
10-06-2016,154.94,0,0,0,0,0,0,0,0,0
13-06-2016,158.07,0,0,0,0,0,0,0,0,0
14-06-2016,160.37,0,0,0,0,0,0,0,0,0
15-06-2016,163.38,0,0,0,0,0,0,0,0,0
16-06-2016,162.36,0,0,0,0,0,0,0,0,0
17-06-2016,166.32,0,0,0,0,0,0,0,0,0
20-06-2016,163.56,0,0,0,0,0,0,0,0,0
21-06-2016,159.58,0,0,0,0,0,0,0,0,0
22-06-2016,158.53,0,0,0,0,0,0,0,0,0
23-06-2016,158.39,0,0,0,0,0,0,0,0,0
24-06-2016,156.61,0,0,0,0,0,0,0,0,0
27-06-2016,169.13,0,0,0,0,0,0,0,0,0
28-06-2016,171.48,0,0,0,0,0,0,0,0,0
29-06-2016,168.57,0,0,0,0,0,0,0,0,0
30-06-2016,169.56,0,0,0,0,0,0,0,0,0
01-07-2016,169,0,0,0,0,0,0,0,0,0
04-07-2016,170.37,0,0,0,0,0,0,0,0,0
05-07-2016,173.22,0,0,0,0,0,0,0,0,0
06-07-2016,173.56,0,0,0,0,0,0,0,0,0
07-07-2016,176.71,0,0,0,0,0,0,0,0,0
08-07-2016,174.64,0,0,0,0,0,0,0,0,0
11-07-2016,174.16,0,0,0,0,0,0,0,0,0
12-07-2016,174.78,0,0,0,0,0,0,0,0,0
13-07-2016,171.81,0,0,0,0,0,0,0,0,0
14-07-2016,171.86,0,0,0,0,0,0,0,0,0
15-07-2016,168.88,0,0,0,0,0,0,0,0,0
18-07-2016,168.93,0,0,0,0,0,0,0,0,0
19-07-2016,171.01,0,0,0,0,0,0,0,0,0
20-07-2016,169.37,0,0,0,0,0,0,0,0,0
21-07-2016,168.35,0,0,0,0,0,0,0,0,0
22-07-2016,168.58,0,0,0,0,0,0,0,0,0
25-07-2016,167.73,0,0,0,0,0,0,0,0,0
26-07-2016,167.6,0,0,0,0,0,0,0,0,0
27-07-2016,168.81,0,0,0,0,0,0,0,0,0
28-07-2016,169.8,0,0,0,0,0,0,0,0,0
29-07-2016,169.92,0,0,0,0,0,0,0,0,0
01-08-2016,169.86,0,0,0,0,0,0,0,0,0
02-08-2016,169.39,0,0,0,0,0,0,0,0,0
03-08-2016,170.23,0,0,0,0,0,0,0,0,0
04-08-2016,168.28,0,0,0,0,0,0,0,0,0
05-08-2016,169.05,0,0,0,0,0,0,0,0,0
08-08-2016,166.12,0,0,0,0,0,0,0,0,0
09-08-2016,166.36,0,0,0,0,0,0,0,0,0
10-08-2016,165.9,0,0,0,0,0,0,0,0,0
11-08-2016,165.74,0,0,0,0,0,0,0,0,0
12-08-2016,166.82,0,0,0,0,0,0,0,0,0
16-08-2016,166.14,0,0,0,0,0,0,0,0,0
17-08-2016,163.89,0,0,0,0,0,0,0,0,0
18-08-2016,164.45,0,0,0,0,0,0,0,0,0
19-08-2016,164.2,0,0,0,0,0,0,0,0,0
22-08-2016,164.09,0,0,0,0,0,0,0,0,0
23-08-2016,163.6,0,0,0,0,0,0,0,0,0
24-08-2016,164.23,0,0,0,0,0,0,0,0,0
25-08-2016,162.89,0,0,0,0,0,0,0,0,0
26-08-2016,162.23,0,0,0,0,0,0,0,0,0
29-08-2016,162.51,0,0,0,0,0,0,0,0,0
30-08-2016,164.47,0,0,0,0,0,0,0,0,0
31-08-2016,164.68,0,0,0,0,0,0,0,0,0
01-09-2016,164.5,0,0,0,0,0,0,0,0,0
02-09-2016,164.68,0,0,0,0,0,0,0,0,0
05-09-2016,166.8,0,0,0,0,0,0,0,0,0
06-09-2016,166.03,0,0,0,0,0,0,0,0,0
07-09-2016,167.1,0,0,0,0,0,0,0,0,0
08-09-2016,166.96,0,0,0,0,0,0,0,0,0
09-09-2016,165.22,0,0,0,0,0,0,0,0,0
12-09-2016,164.25,0,0,0,0,0,0,0,0,0
13-09-2016,164.69,0,0,0,0,0,0,0,0,0
14-09-2016,164.85,0,0,0,0,0,0,0,0,0
15-09-2016,164.54,0,0,0,0,0,0,0,0,0
