pkd_2007;nazwa_pkd_2007
01.11;Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu
01.12;Uprawa ryżu
01.13;Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych
01.14;Uprawa trzciny cukrowej
01.15;Uprawa tytoniu
01.16;Uprawa roślin włóknistych
01.19;Pozostałe uprawy rolne inne niż wieloletnie
01.21;Uprawa winogron
01.22;Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych
01.23;Uprawa drzew i krzewów owocowych cytrusowych
01.24;Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych
01.25;Uprawa pozostałych drzew i krzewów owocowych oraz orzechów
01.26;Uprawa drzew oleistych
01.27;Uprawa roślin wykorzystywanych do produkcji napojów
01.28;Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych
01.29;Uprawa pozostałych roślin wieloletnich
01.30;Rozmnażanie roślin
01.41;Chów i hodowla bydła mlecznego
01.42;Chów i hodowla pozostałego bydła i bawołów
01.43;Chów i hodowla koni i pozostałych zwierząt koniowatych
01.44;Chów i hodowla wielbłądów i zwierząt wielbłądowatych
01.45;Chów i hodowla owiec i kóz
01.46;Chów i hodowla świń
01.47;Chów i hodowla drobiu
01.49;Chów i hodowla pozostałych zwierząt
01.50;Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)
01.61;Działalność usługowa wspomagająca produkcję roślinną
01.62;Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich
01.63;Działalność usługowa następująca po zbiorach
01.64;Obróbka nasion dla celów rozmnażania roślin
01.70;Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową
02.10;Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych
02.20;Pozyskiwanie drewna
02.30;Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna
02.40;Działalność usługowa związana z leśnictwem
03.11;Rybołówstwo w wodach morskich
03.12;Rybołówstwo w wodach śródlądowych
03.21;Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach morskich
03.22;Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach śródlądowych
05.10;Wydobywanie węgla kamiennego
03.20;Wydobywanie węgla brunatnego (lignitu)
06.10;Górnictwo ropy naftowej
06.20;Górnictwo gazu ziemnego
07.10;Górnictwo rud żelaza
07.21;Górnictwo rud uranu i toru
07.29;Górnictwo pozostałych rud metali nieżelaznych
08.11;Wydobywanie kamieni ozdobnych oraz kamienia dla potrzeb budownictwa, skał wapiennych, gipsu, kredy i łupków
08.12;"Wydobywanie żwiru i piasku; wydobywanie gliny i kaolinu"
08.91;Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów
08.92;Wydobywanie torfu
08.93;Wydobywanie soli
08.99;Pozostałe górnictwo i wydobywanie, gdzie indziej niesklasyfikowane
09.10;Działalność usługowa wspomagająca eksploatację złóż ropy naftowej i gazu ziemnego
09.90;Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie
10.11;Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu
10.12;Przetwarzanie i konserwowanie mięsa z drobiu
10.13;Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego
10.20;Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków
10.31;Przetwarzanie i konserwowanie ziemniaków
10.32;Produkcja soków z owoców i warzyw
