;data;31001000000;31002000000;31003000000;31004000000;31005000000;31006000000;31007000000;31008000000;31009000000
01.01.2016;99,4;0;0;0;0;0;0;0;0;0
01.02.2016;99,4;0;0;0;0;0;0;0;0;0
01.03.2016;99,5;0;0;0;0;0;0;0;0;0
01.04.2016;99,8;0;0;0;0;0;0;0;0;0
01.05.2016;100;0;0;0;0;0;0;0;0;0
01.06.2016;100,1;0;0;0;0;0;0;0;0;0
01.07.2016;99,8;0;0;0;0;0;0;0;0;0
01.08.2016;99,6;0;0;0;0;0;0;0;0;0
01.09.2016;99,6;0;0;0;0;0;0;0;0;0
01.10.2016;100;0;0;0;0;0;0;0;0;0
01.11.2016;100;0;0;0;0;0;0;0;0;0
01.12.2016;100,5;0;0;0;0;0;0;0;0;0
01.01.2017;100,8;0;0;0;0;0;0;0;0;0
01.02.2017;101,3;0;0;0;0;0;0;0;0;0
01.03.2017;101,3;0;0;0;0;0;0;0;0;0
01.04.2017;101,6;0;0;0;0;0;0;0;0;0
01.05.2017;101,5;0;0;0;0;0;0;0;0;0
01.06.2017;101,4;0;0;0;0;0;0;0;0;0
01.07.2017;101,2;0;0;0;0;0;0;0;0;0
01.08.2017;101;0;0;0;0;0;0;0;0;0
01.09.2017;101,2;0;0;0;0;0;0;0;0;0
01.10.2017;101,6;0;0;0;0;0;0;0;0;0
01.11.2017;102;0;0;0;0;0;0;0;0;0
01.12.2017;102,2;0;0;0;0;0;0;0;0;0
01.01.2018;102,4;0;0;0;0;0;0;0;0;0
01.02.2018;102;0;0;0;0;0;0;0;0;0
01.03.2018;102;0;0;0;0;0;0;0;0;0
01.04.2018;102,5;0;0;0;0;0;0;0;0;0
01.05.2018;102,7;0;0;0;0;0;0;0;0;0
01.06.2018;102,8;0;0;0;0;0;0;0;0;0
01.07.2018;102,6;0;0;0;0;0;0;0;0;0
01.08.2018;102,4;0;0;0;0;0;0;0;0;0
01.09.2018;102,7;0;0;0;0;0;0;0;0;0
01.10.2018;103,1;0;0;0;0;0;0;0;0;0
01.11.2018;103,1;0;0;0;0;0;0;0;0;0
01.12.2018;103,1;0;0;0;0;0;0;0;0;0
01.01.2019;103;0;0;0;0;0;0;0;0;0
01.02.2019;103,3;0;0;0;0;0;0;0;0;0
01.03.2019;103,7;0;0;0;0;0;0;0;0;0
01.04.2019;104,7;0;0;0;0;0;0;0;0;0
01.05.2019;105;0;0;0;0;0;0;0;0;0
01.06.2019;105,2;0;0;0;0;0;0;0;0;0
01.07.2019;105,2;0;0;0;0;0;0;0;0;0
01.08.2019;105,1;0;0;0;0;0;0;0;0;0
01.09.2019;105,2;0;0;0;0;0;0;0;0;0
01.10.2019;105,5;0;0;0;0;0;0;0;0;0
01.11.2019;105,6;0;0;0;0;0;0;0;0;0
01.12.2019;106,2;0;0;0;0;0;0;0;0;0
01.01.2020;106,9;0;0;0;0;0;0;0;0;0
01.02.2020;107,5;0;0;0;0;0;0;0;0;0
01.03.2020;107,7;1,935483871;1,161290323;1,419354839;0,129032258;0;0,064516129;0,677419355;2,387096774;0
01.04.2020;107,7;3;2;2;4;0,733333333;1,266666667;2;4;1,5
01.05.2020;108,6;2,774193548;2;1,935483871;3,870967742;1;0,935483871;2;4;2,935483871
01.06.2020;109,2;2;2;1;2;1;0;0,066666667;3,466666667;2
01.07.2020;109,1;2;2;0,258064516;2;0,258064516;0;0;3;2
01.08.2020;109;2;2;0;2;0;0;0;3;2,838709677
01.10.2020;109,5;1,419354839;0,516129032;0,967741935;2,387096774;0,258064516;0,258064516;0,258064516;3;2,967741935
01.11.2020;109,5;2,8;2;2;4;1;1;1;3;3
01.12.2020;109,8;3;2;2;4;1;1;1,032258065;3;3
01.01.2021;110,8;2,548387097;2;2;4;1;1;1,032258065;3;2,35483871
