,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31007000000,31008000000,31009000000
2016-01-04,2.6577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,2.6858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,2.6606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,2.6481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,2.6352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,2.6314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-13,2.6298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-14,2.5894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-15,2.5895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-18,2.6562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,2.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-20,2.6058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-21,2.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-22,2.6614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,2.6848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,2.6781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-27,2.6752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28,2.6453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,2.6491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2.6277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,2.6146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-03,2.6544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-04,2.6461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,2.6483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,2.6211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,2.6255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-10,2.6242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-11,2.6086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-12,2.6054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-15,2.6158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,2.6013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,2.6017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,2.6155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,2.6151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,2.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,2.6549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,2.6337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,2.6468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-26,2.6718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,2.6339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2.6335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-02,2.6326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-03,2.6638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-04,2.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-07,2.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-08,2.6572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-09,2.6672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-10,2.6233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,2.6008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-14,2.5891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,2.5704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-16,2.5615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-17,2.5929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-18,2.5762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-21,2.5667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-22,2.5637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-23,2.5489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-24,2.5563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-25,2.5595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-29,2.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-30,2.5952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,2.6018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2.5677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-04,2.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-05,2.5323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-06,2.5479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-07,2.5555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-08,2.5597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11,2.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-12,2.5838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-13,2.6165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-14,2.6225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-15,2.6371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-18,2.6363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-19,2.6572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-20,2.6518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-21,2.6439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-22,2.6425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-25,2.6777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-26,2.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-27,2.6611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-28,2.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
