,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31007000000,31008000000,31009000000
2016-01-01,23.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,23.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,24.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,24.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,25.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,24.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,25.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,24.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,23.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,25.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,24.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,25.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,23.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,25.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,26.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,25.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,24.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,26.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,24.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,24.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,25.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,23.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,24.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
