id;nazwa;zadania;wykluczenie
2361; Manufacture of concrete products for construction purposes;"This class includes:  manufacture of precast concrete, cement or artificial stone articles for use in construction: tiles, flagstones, building blocks, bricks, boards, sheets, panels, pipes, posts etc.;manufacture of prefabricated buildings and structural components for building or civil engineering, traffic control and obstruction, of cement, concrete or artificial stone;manufacture of prefabricated factory made elements of brick for construction of prefabricated buildings to be used in landscaping and retaining wall, wastewater and stormwater management, and underground utilities;manufacture of factory-made element with concrete;manufacture of prefabricated concrete pipes for drinking water; This class also includes:  manufacture of calcium silicate masonry units;manufacture of autoclaved aerated concrete masonry units";
0721; Mining of uranium and thorium ores;"This class includes:  mining of ores chiefly valued for uranium and thorium content: pitchblende etc.;concentration of such ores;manufacture of yellowcake";"This class excludes:  enrichment of uranium and thorium ores, see 20.13;production of uranium metal from pitchblende or other ores, see 24.46;smelting and refining of uranium, see 24.46"
0812; Operation of gravel and sand pits and mining of clay and kaolin;"This class includes:  extraction and dredging of industrial sand, sand for construction and gravel;breaking and crushing of gravel;quarrying of sand;mining of clays, refractory clays and kaolin";This class excludes:  mining of bituminous sand, see 06.10
8230; Organisation of conventions and trade shows;"This class includes the organisation, promotion and/or management of events, e.g.:  business and trade shows;company events;general or specialised exhibitions;conferences and conventions;seminars, symposiums and workshops- farm markets and craft fairsThis class may further include the management and provision of the staff to operate the facilities in which the aforementioned events take place but only if the management and provision of staff are performed in association with the organisation, promotion and/or management of such events.";"This class excludes:- erection of exhibition stands/boots depending on the type of installation performed, see division 43- organisation of cultural events, e.g. film festivals, musicals or dance festivals, see 90.39;technical planning, supply, setting up and operation of audiovisual equipment and special effects associated with the organisation of artistic events, 90.39- organisation of sport events, see 93.19;technical planning, supply, setting up and operation of audiovisual equipment and special effects associated with the organisation of non-artistic events, see 93.29;organisation of personal ceremonies or celebrations, including weddings, name-giving ceremonies, birthday parties etc., see 96.99"
8299; Other business support service activities n.e.c.;"This class includes:  fundraising organisation services on a contract or fee basis- court reporting or stenotype recording services- public stenography services- real-time (i.e. simultaneous) closed captioning of meetings, conferences- bar coding services- bar code imprinting services- parking meter coin collection services;activities of handling visa and work permit- restaurant voucher handling service activities- providing assistance in motor vehicle registration- relocation service activities- leisure activities gift package administration- voucher issuing and handling activities;charity crowd funding;company domiciliation services;reading of consumption of heat and hot water, including cost allocation- administration of loyalty programmes;selling of travel boxes: form of distribution of a service linked to travel, but a deferred service, which can be of any nature: hotels, restaurants, care, leisure activities, etc.)";"This class excludes:  activities of auctioning houses (wholesale) and online auction activities (wholesale), see 46.1;activities of auctioning houses (retail sale) and online auction activities (retail sale), see 47.9;providing film or tape captioning or subtitling services, see 59.12;activities of shared service centres (SSC) with strategic and managerial activities/centralised activities, see 70.10;business and other management consultancy activities, see 70.20;activities of shared service centres (SSC) with two or more combined activities (set of administrative services) providing operational tasks for the whole enterprise or group, e.g. reception, financial planning, billing and record keeping, personnel and mail services for the same enterprise group, see 82.10;provision of document transcription services, see 82.10;intermediation service activities for business support service activities n.e.c., see 82.40"
6910; Legal activities;"This class includes:  legal representation of one party's interest against another party, whether or not before courts or other judicial bodies by, or under supervision of, persons who are members of the bar: advice and representation in civil cases;advice and representation in criminal cases;advice and representation in connection with labour disputes;general counselling and advising, preparation of legal documents: articles of incorporation, partnership agreements or similar documents in connection with company formation;patents and copyrights;preparation of deeds, wills, trusts etc.;other activities of notaries public, civil law notaries, bailiffs, arbitrators, examiners and referees; This class also includes:  legal mediation activities;activities of appointed legal guardians, without provision of residential care";"This class excludes:  law court activities, see 84.23;social mediation, see 88.99"
8411; General public administration activities;"This class includes:  executive and legislative administration of central, regional and local bodies;activities of ministries at national and regional level;administration and supervision of fiscal affairs: operation of taxation schemes;duty/tax collection on goods and tax violation investigation;customs administration;budget implementation and management of public funds and public debt: raising and receiving of money and control of their disbursement;administration of overall (civil) research and development policy and associated funds;administration and operation of overall economic and social planning and statistical services at the various levels of government";"This class excludes:  central banking, see 64.11;operation of government owned or occupied buildings, see 68.2, 68.3;administration of research and development policies intended to increase personal well-being and of associated funds, see 84.12;administration of research and development policies intended to improve economic performance and competitiveness, see 84.13;administration of defence-related research and development policies and of associated funds, see 84.22;operation of government archives, see 91.12"
6419; Other monetary intermediation;"This class includes the receiving of deposits and/or close substitutes for deposits and extending of credit or other forms of lending funds. The granting of credit can take a variety of forms, e.g. loans, mortgages, consumer credit cards etc. These activities are generally carried out by monetary institutions other than central banks, e.g.:  banks;savings banks;credit cooperatives and unions; This class also includes:  postal giro and postal saving banks activities;credit granting by specialised deposit-taking institutions, e.g. for house purchases, agriculture;money order activities";"This class excludes:  credit granting by specialised non-depository institutions, e.g. for house purchases, see 64.92;credit card transaction processing and settlement activities, see 66.19"
2452; Casting of steel;"This class includes:  manufacture of castings made of alloy or common steel castings;manufacture of castings made of carbon or commercial steel castings;manufacture of castings made of alloy and high alloy castings;manufacture of castings made of stainless steel castings";
0620; Extraction of natural gas;"This class includes:  production of crude gaseous hydrocarbon (natural gas);extraction of condensates;draining and separation of liquid hydrocarbon fractions;gas desulphurisation;extraction of coal mine methane; This class also includes:  mining of hydrocarbon liquids, obtained through liquefaction or pyrolysis;fracking to extract coal seam gas";"This class excludes:  support activities for oil and natural gas extraction, see 09.10;oil and gas exploration, see 09.10;production of natural gas liquids from crude petroleum (crude oil), see 19.2;recovery of liquefied petroleum gases in the refining of petroleum, see 19.20;manufacture of industrial gases, see 20.11;operation of pipelines, see 49.50"
0910; Support activities for petroleum and natural gas extraction;"This class includes:  oil and gas extraction service activities provided on a fee or contract basis: exploration services in connection with petroleum or gas extraction, e.g. traditional prospecting methods, e.g. making geological observations at prospective sites;directional drilling and redrilling; 'spudding in'; derrick erection in situ, repairing and dismantling; cementing oil and gas well casings; pumping of wells; plugging and abandoning wells etc.;liquefaction and regasification of natural gas for purpose of transport, done at the mine site;draining and pumping services, on a fee or contract basis;test drilling in connection with petroleum or gas extraction; This class also includes:  oil and gas field firefighting services and fire prevention services";"This class excludes:  service activities performed by operators of oil or gas fields, see 06.10, 06.20;specialised repair and maintenance of drilling and extraction machinery and equipment, see 33.12;specialised offshore installation, repair and maintenance of equipment that forms an integral part of floating platforms, see division 43;liquefaction and regasification of natural gas for purpose of transport, not done on the mine, see 52.22;geophysical surveying services, on a contract or fee basis, see 71.12"
6630; Fund management activities;"This class includes portfolio and fund management activities, for instance making decisions on which investments to purchase or sell, on a fee or contract basis, for individuals, businesses and others, e.g.:  management of mutual funds;management of other investment funds;management of pension funds; This class also includes:  activities of asset management, on a fee or contract basis;trustee, fiduciary and custody services on a fee or contract basis";"This class excludes:  dealing in financial markets on own account, see 64.99;management of real estate, see division 68;management of public funds and public debt services, see 84.11"
2434; Cold drawing of wire;This class includes:  manufacture of drawn steel wire, by cold drawing of steel wire rod;"This class excludes:  drawing of bars and solid sections of steel, see 24.31;manufacture of derived wire products, see 25.93"
0210; Silviculture and other forestry activities;"This class includes:  growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts;growing of coppice, pulpwood and fire wood;operation of forest tree nurseries;growing of poplar and willowThese activities can be carried out in natural, semi-natural or planted forests.";"This class excludes:  growing of Christmas trees, see 01.29;operation of tree nurseries, except for forest trees, see 01.30;gathering of mushrooms and other wild growing non-wood forest products, see 02.30;production of wood chips and particles, not associated with forestry activities, see 16.11;production of wood fire logs not associated with forestry activities, see 16.26;activities relating to amenity tree care and arboriculture, see 81.30"
0892; Extraction of peat;"This class includes:  peat digging;preparation of peat to improve quality or facilitate transport or storage";"This class excludes:  service activities incidental to peat mining, see 09.90;manufacture of peat briquettes, see 19.20;manufacture of potting soil mixtures, of e.g. of peat, natural soil, sands, clays, fertiliser minerals, see 20.15;manufacture of articles of peat, see 23.99"
2443; Lead, zinc and tin production;"This class includes:  production of unwrought lead, zinc and tin, alloyed or not alloyed, from ores or from lead, zinc or tin waste and scrap;manufacture of bars, rods, profiles, wire, plates, sheets, strip and foil of lead, zinc or tin; This class also includes:  manufacture of zinc powder by atomisation of molten zinc";"This class excludes:  casting of lead, zinc or tin, see 24.54;shredding of lead, zinc or tin waste and scrap, see 38.21"
0220; Logging;"This class includes:  production of roundwood for forest-based manufacturing industries;production of roundwood used in an unprocessed form, e.g. pit-props, fence posts, utility poles; This class also includes:  gathering and production of forest harvesting residues, e.g. brushwood, stumps, wood chips from logging, other forest waste for energy;production of charcoal in the forest (using traditional methods)";"This class excludes:  growing of Christmas trees, see 01.29;growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts, see 02.10;gathering of wild growing non-wood forest products, see 02.30;production of wood chips and particles, not associated with forestry activities, see 16.11;production of charcoal through distillation of wood, see 20.14"
0893; Extraction of salt;"This class includes:  extraction of salt from underground, including by dissolving and pumping;salt production by evaporation of sea water or other saline waters;crushing, purification and refining of salt by the producer";"This class excludes:  processing of salt into food-grade salt, e.g. iodised salt, see 10.84;potable water production by evaporation of saline water, see 36.00"
6530; Pension funding;"This class includes provision of retirement income benefits exclusively for the sponsor's employees or members and other insurance products regulated as employer-related funds. This includes pension plans with defined benefits as well as defined contributions.This class includes:  provision of employee benefit plans;provision of pension funds and plans;provision of retirement plans";"This class excludes:  management of pension funds, see 66.30;compulsory social security schemes, see 84.30"
0899; Other mining and quarrying n.e.c.;"This class includes:  mining and quarrying of various minerals and materials: abrasive materials, asbestos, siliceous fossil meals, natural graphite, steatite (talc), feldspar etc.;natural asphalt, asphaltites and asphaltic rock; natural solid bitumen;gemstones, quartz, mica etc.";
