kod;kod4;nazwa_en;zadania_en;zadania_en_2;nazwa_pl
01.lis;'0111';Growing of cereals, other than rice, leguminous crops and oil seeds;All forms of growing of cereals, leguminous crops and oil seeds. Included is the growing of these plants for the purpose of seed production. The growing of these crops is often combined within agricultural units.;;Uprawa zbóż innych niż ryż, roślin strączkowych i roślin oleistych na nasiona
01.gru;'0112';Growing of rice;Growing of rice;;Uprawa ryżu
sty.13;'0113';Growing of vegetables and melons, roots and tubers;"Growing of leafy or stem vegetables, e.g.: artichokes, asparagus, cabbages, cauliflower and broccoli, lettuce and chicory, spinach; growing of fruit-bearing vegetables, e.g.: cucumbers and gherkins, eggpla";Growing of sweetcorn;Uprawa warzyw, włączając melony, oraz uprawa roślin korzeniowych i roślin bulwiastych
sty.14;'0114';Growing of sugar cane;Growing of sugar cane;;Uprawa trzciny cukrowej
sty.15;'0115';Growing of tobacco;Growing of unmanufactured tobacco;;Uprawa tytoniu
sty.16;'0116';Growing of fibre crops;Growing of fibre crops, e.g.: growing of cotton, growing of jute, kenaf and other textile bast fibres, growing of flax and hemp, growing of sisal and other textile fibre of the genus agave, growing of abaca, ramie and other veget;;Uprawa roślin włóknistych
sty.19;'0119';Growing of other non-perennial crops;"The growing of all other non-perennial crops, e.g.: growing of clover, alfalfa, sainfoin, maize, lupines, other grasses, fodder kale and similar forage crops; growing of beet seeds and seeds of forage plants; growing of flowers; ";;Pozostałe uprawy rolne inne niż wieloletnie
sty.21;'0121';Growing of grapes;Growing of grapes for consumption or for further production of wine, juice, vinegar and dried fruit (e.g. raisins, zante currants or sultanas);;Uprawa winogron
sty.22;'0122';Growing of tropical and subtropical fruits;Growing of tropical and subtropical fruits, e.g.: avocados, bananas and plantains, dates, figs, mangoes, papayas, pineapples,rambutans,lychees;;Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych
sty.23;'0123';Growing of citrus fruits;Growing of citrus fruits, e.g.: grapefruit and pomelo, lemons and limes,oranges,,tangerines, mandarins and clementines;;Uprawa drzew i krzewów owocowych cytrusowych
sty.24;'0124';Growing of pome fruits and stone fruits;Growing of pome fruits and stone fruits, e.g.:apples,apricots,cherries and sour cherries,peaches and nectarines,pears and quinces,plums and sloes;;Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych
sty.25;'0125';Growing of other tree and bush fruits and nuts;"Growing of berries, e.g.: blueberries, fresh currants, gooseberries, kiwi fruit, raspberries, strawberries, sea buckthorn; growing of fruit seeds; growing of edible nuts, e.g.: almonds, cashew nuts";;Uprawa pozostałych drzew i krzewów owocowych oraz orzechów
sty.26;'0126';Growing of oleaginous fruits;Growing of oleaginous fruits, e.g.: coconuts,olives, oil palms;;Uprawa drzew oleistych
sty.27;'0127';Growing of beverage crops;Growing of beverage crops e.g.: coffee, tea, mate, cocoa;;Uprawa roślin wykorzystywanych do produkcji napojów
sty.28;'0128';Growing of spices, aromatic, drug and pharmaceutical crops;Growing of perennial and non-perennial spices and aromatic crops: pepper (Piper spp.), nutmeg, mace and cardamoms, anise, badian and fennel as a spice or aromatic plant, cinnamon (Canella), cloves, ginger, vani;This class also includes: sun drying of spices and aromatic, drug and pharmaceutical plants when associated with the growing of the plants;Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych
