id;nazwa;zadania;kod;zadania_en
330;Działalność usługowa wspomagająca rybołówstwo i akwakulturę;działalność usługowa w zakresie napraw i konserwacji klatek dla ryb;mar.30; service activities incidental to marine or freshwater fishery or aquaculture e.g.: aquaculture fisheries control diving services for aquaculture, remotely operated underwater vehicles (ROV) services for aquacultureâ€˘ repair and maintenance services for fish cagesâ€˘ other support activities on fishing and aquaculture n.e.c.. This class also includes:  fisheries control (fish guard)
1061;Wytwarzanie produktów przemiału zbóż;przemiał zbóż: produkcję mąki, kasz, mączki lub granulek z pszenicy, żyta, owsa, kukurydzy lub innych ziaren zbóż. przemiał ryżu: produkcję ryżu łuskanego, bielonego, polerowanego, glazurowanego, parzonego lub przetworzonego. produkcję mąki ryżowej. przemiał warzyw: produkcja mąki lub mączki z suszonych warzyw strączkowych, korzeni lub bulw, lub jadalnych orzechów.produkcja zbożowej żywności śniadaniowej.produkcja mieszanek mącznych i gotowych mieszanek mącznych i ciasta na chleb, ciasta, herbatniki, naleśniki itp.;paź.61;grain milling: production of flour, groats, meal or pellets of wheat, rye, oats, maize (corn) or other cereal grains.rice milling: production of husked, milled, polished, glazed, parboiled or converted rice. production of rice flour.vegetable milling: production of flour or meal of dried leguminous vegetables, of roots or tubers, or of edible nuts.manufacture of cereal breakfast foods.manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits, pancakes, etc.. 
1062;Wytwarzanie skrobi i wyrobów skrobiowych;produkcja skrobi z ryżu, ziemniaków, kukurydzy itp.. mielenie kukurydzy na mokro. produkcja glukozy, syropu glukozowego, maltozy, inuliny itp.. produkcja glutenu. produkcja tapioki i substytutów tapioki przygotowanych ze skrobi. produkcja oleju kukurydzianego. ;paź.62;manufacture of starches from rice, potatoes, maize etc..wet corn milling.manufacture of glucose, glucose syrup, maltose, inulin etc..manufacture of gluten.manufacture of tapioca and tapioca substitutes prepared from starch.manufacture of corn oil. 
1071;"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek";produkcja wyrobów piekarniczych: chleba i bułek, ciast, placków, tart, naleśników, gofrów itp.. produkcja wstępnie wypieczonego chleba;paź.71;manufacture of bakery products: bread and rolls.pastry, cakes, pies, tarts, pancakes, waffles etc.. This class also includes:  manufacture of pre-baked bread
1072;Produkcja sucharów, herbatników, konserwowanych wyrobów ciastkarskich i ciastek;produkcję sucharów, herbatników i innych suchych wyrobów piekarniczych. produkcję konserwowanych wyrobów piekarniczych, ciast i gofrów. produkcję przekąsek (ciastek, krakersów, precli itp.), słodkich lub solonych. Klasa ta obejmuje również: produkcję bułki tartej, otrzymywanej przez mielenie chleba tostowego.;paź.72;manufacture of rusks, biscuits and other dry bakery products.manufacture of preserved pastry goods, cakes and waffles.manufacture of snack products (cookies, crackers, pretzels etc.), whether sweet or salted. This class also includes:  manufacture of breadcrumbs, obtained by grinding toasted bread
1073;Produkcja wyrobów mącznych;produkcja makaronów, np. makaronu i klusek, nawet gotowanych lub nadziewanych. produkcja kaszy manny (kuskusu). ;paź.73;manufacture of pastas, e.g. macaroni and noodles, whether or not cooked or stuffed.manufacture of semolina (couscous). 
1086;Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej;produkcję specjalnej żywności, takiej jak: preparaty do początkowego żywienia niemowląt, modyfikowanego mleka uzupełniającego i pozostałej żywności uzupełniającej dla niemowląt, żywność dla dzieci, żywność niskokaloryczna i o zmniejszonej kaloryczności dla utrzymania właściwej masy ciała, żywność przeznaczenia medycznego.;paź.86;manufacture of foods for particular nutritional uses: infant formulae.follow-up formulae milk and other follow-up foods.baby foods.low-energy and energy-reduced foods intended for weight control.foods for medical purposes. 
1320;Produkcja tkanin;produkcję tkanin bawełnianych, wełnianych, czesankowych lub jedwabnych, wykonywanych w całości z jednego rodzaju włókna lub z udziałem innych włókien sztucznych lub syntetycznych (polipropylenowych i tym podobnych), produkcję tkanin z lnu, ramii, konopi, juty, pozostałych włókien łykowych oraz tkanin specjalnych, produkcję tkanin z odzyskanych materiałów włókienniczych (wtórnych), produkcję tkanin szenilowych, ręcznikowych frotte, gazowych i tym podobnych, produkcję z tkanin z długim włosem przeznaczonych do produkcji imitacji skór futerkowych.;13.20;weaving of textiles. This can be done from varying raw materials, whether new fibres or recycled textile materials, e.g. silk, cotton , wool, vegetable or man-made fibres or paper, recovered textile waste materials or new textile fibres. manufacture of broad woven cotton-type, woollen-type, worsted-type or silk-type fabrics, including from mixtures or artificial or synthetic yarns (polypropylene etc.).manufacture of other broad woven fabrics, using flax, ramie, hemp, jute, bast fibres and special yarns.manufacture of broad woven fabrics, from secondary raw materials. This class also includes:  manufacture of woven pile or chenille fabrics, terry towelling, gauze etc..manufacture of aramid threads.manufacture of imitation fur by weaving
1330;Wykończanie wyrobów tekstylnych;drukowanie na wyrobach tekstylnych jako proces pośredni w ich produkcji;13.30;finishing of textiles and wearing apparel, i.e. bleaching, dyeing, dressing and similar activities. bleaching and dyeing of textile fibres, yarns, fabrics and textile articles, including wearing apparel.dressing, drying, steaming, shrinking, mending, sanforising, mercerising of textiles and textile articles, including wearing apparel. This class also includes:  bleaching of jeans.pleating and similar work on textiles.waterproofing, coating, rubberising, or impregnating purchased garments.printing of textile fabrics as an intermediate process in manufacture of textiles
1392;Produkcja wyrobów tekstylnych dla gospodarstw domowych i gotowych artykułów wyposażenia wnętrz;produkcję gotowych wyrobów tekstylnych dla gospodarstw domowych (włączając dziane), na przykład: koce, włączając pledy podróżne, bielizna pościelowa, stołowa, toaletowa, kuchenna, kołdry, pierzyny, narzuty pikowane, jaśki, pufy, poduszki, śpiwory, produkcję gotowych wyrobów wyposażeniowych: zasłony, lambrekiny, narzuty na łóżka inne niż pikowane, flagi, sztandary, chorągwie, ścierki do kurzu, zmywaki i podobne artykuły,;13.92; manufacture, of made-up household textiles articles of any material, including of knitted or crocheted fabrics e.g.: blankets, including travelling rugs.bed, table, toilet or kitchen linen.quilts, eiderdowns, cushions, pouffes, pillows, sleeping bags.manufacture of made-up furnishing articles: curtains, valances, bedspreads.flags, banners, pennants.dust cloths, dishcloths and similar articles. This class also includes:  manufacture of the textile part of electric blankets.manufacture of hand-woven tapestries
1396;Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych;produkcja tkanin z włókien szklanych;13.96; manufacture of narrow woven fabrics, including fabrics consisting of warp without weft assembled by means of an adhesive.manufacture of labels, badges etc..manufacture of ornamental trimmings: braids, tassels, pompons etc..manufacture of textile fabrics impregnated, coated, covered or laminated with plastics.manufacture of metallised yarn , rubber thread and cord covered with textile material, textile yarn covered, impregnated, coated or sheathed with rubber or plastics.manufacture of tyre cord fabric of high-tenacity man-made yarn.manufacture of other treated or coated fabrics e.g. buckram and similar stiffened textile fabrics, fabrics coated with gum or amylaceous substances.manufacture of diverse textile articles e.g. textile wicks, incandescent gas mantles, tubular gas.manufacture of mantle fabric, hose piping, transmission or conveyor belts or belting (whether or not reinforced with metal or other material), bolting cloth, straining cloth.manufacture of automotive trimmings.manufacture of artists' canvas boards and tracing cloth.manufacture of tarpaulins, tents, sails, parachutes, textiles for blinds and sun blinds, loose covers for cars, machines or furniture. This class also includes:  manufacture of fabrics of glass fibres
1396;Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych;plandeki, namioty, wyposażenie kempingowe, żagle, markizy przeciwsłoneczne, zewnętrzne pokrowce na samochody, maszyny lub meble itp.,;13.96; manufacture of narrow woven fabrics, including fabrics consisting of warp without weft assembled by means of an adhesive.manufacture of labels, badges etc..manufacture of ornamental trimmings: braids, tassels, pompons etc..manufacture of textile fabrics impregnated, coated, covered or laminated with plastics.manufacture of metallised yarn , rubber thread and cord covered with textile material, textile yarn covered, impregnated, coated or sheathed with rubber or plastics.manufacture of tyre cord fabric of high-tenacity man-made yarn.manufacture of other treated or coated fabrics e.g. buckram and similar stiffened textile fabrics, fabrics coated with gum or amylaceous substances.manufacture of diverse textile articles e.g. textile wicks, incandescent gas mantles, tubular gas.manufacture of mantle fabric, hose piping, transmission or conveyor belts or belting (whether or not reinforced with metal or other material), bolting cloth, straining cloth.manufacture of automotive trimmings.manufacture of artists' canvas boards and tracing cloth.manufacture of tarpaulins, tents, sails, parachutes, textiles for blinds and sun blinds, loose covers for cars, machines or furniture. This class also includes:  manufacture of fabrics of glass fibres
1410;Produkcja odzieży dzianej;produkcja odzieży dzianej i innych artykułów konfekcjonowanych np. pulowerów, swetrów rozpinanych, bluz, koszul, T-shirtów, bluzek, kamizelek, w tym odzieży niemowlęcej;14.paź; manufacture of hosiery, including socks, tights and pantyhose.manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape e.g. pullovers, cardigans, jerseys, shirts, T-shirts, blouses, waistcoats, nightwear, underwear, including babiesâ€™ wear.manufacture of knitted and crocheted sportswear and swimwear. This class also includes:  manufacture of medical stockings and hosiery.manufacture of footwear without applied soles, knitted or crocheted
1410;Produkcja odzieży dzianej;produkcja odzieży dzianej lub szydełkowanej i innych artykułów konfekcjonowanych, np. bielizny;14.paź; manufacture of hosiery, including socks, tights and pantyhose.manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape e.g. pullovers, cardigans, jerseys, shirts, T-shirts, blouses, waistcoats, nightwear, underwear, including babiesâ€™ wear.manufacture of knitted and crocheted sportswear and swimwear. This class also includes:  manufacture of medical stockings and hosiery.manufacture of footwear without applied soles, knitted or crocheted
1410;Produkcja odzieży dzianej;produkcja dzianej i szydełkowanej odzieży dziecięcej, produkcja odzieży sportowej i strojów kąpielowych z dzianin;14.paź; manufacture of hosiery, including socks, tights and pantyhose.manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape e.g. pullovers, cardigans, jerseys, shirts, T-shirts, blouses, waistcoats, nightwear, underwear, including babiesâ€™ wear.manufacture of knitted and crocheted sportswear and swimwear. This class also includes:  manufacture of medical stockings and hosiery.manufacture of footwear without applied soles, knitted or crocheted
1421;Produkcja odzieży wierzchniej;produkcja odzieży wierzchniej, innej niż dzianej lub szydełkowanej, np. płaszczy, garniturów, kompletów, kurtek, spodni, spódnic, koszul, T-shirtów, bluzek, suknie ślubne i inne ubrania na ceremonie, szycie na miarę;14.21; manufacture of outerwear, other than knitted or crocheted e.g. coats, suits, ensembles, jackets, trousers, skirts, shirts, T-shirts, blouses, babies' outerwear garments. This class also includes:  bridal dresses and other clothes for ceremony.custom tailoring
1421;Produkcja odzieży wierzchniej;produkcja podkoszulek, bluzek i T-shirtów, innych niż dzianych;14.21; manufacture of outerwear, other than knitted or crocheted e.g. coats, suits, ensembles, jackets, trousers, skirts, shirts, T-shirts, blouses, babies' outerwear garments. This class also includes:  bridal dresses and other clothes for ceremony.custom tailoring
1421;Produkcja odzieży wierzchniej;Produkcja odzieży niemowlęcej innej niż dzianej, wyłącznie odzieży wierzchniej;14.21; manufacture of outerwear, other than knitted or crocheted e.g. coats, suits, ensembles, jackets, trousers, skirts, shirts, T-shirts, blouses, babies' outerwear garments. This class also includes:  bridal dresses and other clothes for ceremony.custom tailoring
1422;Produkcja bielizny;produkcję bielizny wykonanej z tkanin, dzianin, koronek itp. dla mężczyzn, kobiet i dzieci: slipy, kalesony, piżamy, koszule nocne, szlafroki, majtki, staniki, gorsety itp.;14.22; manufacture of outerwear, other than knitted or crocheted e.g. coats, suits, ensembles, jackets, trousers, skirts, shirts, T-shirts, blouses, babies' outerwear garments. This class also includes:  bridal dresses and other clothes for ceremony.custom tailoring
1422;Produkcja bielizny;produkcja bielizny niemowlęcej;14.22; manufacture of outerwear, other than knitted or crocheted e.g. coats, suits, ensembles, jackets, trousers, skirts, shirts, T-shirts, blouses, babies' outerwear garments. This class also includes:  bridal dresses and other clothes for ceremony.custom tailoring
