,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31007000000,31008000000,31009000000
2016-01-01,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,103.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,89.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,101.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,94.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,111.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,114.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,102.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,96.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,97.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,111.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,101.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,110.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,99.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,103.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,121.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,127.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,126.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,109.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,108.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,102.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,108.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,120.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,116.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,130.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,152.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,147.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,122.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,122.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,130.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,126.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,123.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,136.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,128.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,149.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,172.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,135.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,137.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,139.7,1.935483870967742,1.1612903225806452,1.4193548387096775,0.12903225806451613,0.0,0.06451612903225806,0.6774193548387096,2.3870967741935485,0.0
2020-04-01,93.3,3.0,2.0,2.0,4.0,0.7333333333333333,1.2666666666666666,2.0,4.0,1.5
2020-05-01,128.2,2.774193548387097,2.0,1.935483870967742,3.870967741935484,1.0,0.9354838709677419,2.0,4.0,2.935483870967742
2020-06-01,145.1,2.0,2.0,1.0,2.0,1.0,0.0,0.06666666666666667,3.466666666666667,2.0
2020-07-01,145.7,2.0,2.0,0.25806451612903225,2.0,0.25806451612903225,0.0,0.0,3.0,2.0
2020-08-01,141.7,2.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,2.838709677419355
