nazwa_2025;rodzaj
Uprawa zbóż innych niż ryż, roślin strączkowych i roślin oleistych na nasiona;NACE Rev. 2 class  01.11 is mapped to NACE Rev. 2.1 class  01.11
Uprawa ryżu;NACE Rev. 2 class  01.12 is mapped to NACE Rev. 2.1 class  01.12
Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych;NACE Rev. 2 class  01.13 is mapped to NACE Rev. 2.1 class  01.13
Uprawa trzciny cukrowej;NACE Rev. 2 class  01.14 is mapped to NACE Rev. 2.1 class  01.14
Uprawa tytoniu;NACE Rev. 2 class  01.15 is mapped to NACE Rev. 2.1 class  01.15
Uprawa roślin włóknistych;NACE Rev. 2 class  01.16 is mapped to NACE Rev. 2.1 class  01.16
Uprawa winogron;NACE Rev. 2 class  01.21 is mapped to NACE Rev. 2.1 class  01.21
Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych;NACE Rev. 2 class  01.22 is mapped to NACE Rev. 2.1 class  01.22
Uprawa drzew i krzewów owocowych cytrusowych;NACE Rev. 2 class  01.23 is mapped to NACE Rev. 2.1 class  01.23
Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych;NACE Rev. 2 class  01.24 is mapped to NACE Rev. 2.1 class  01.24
Uprawa pozostałych drzew i krzewów owocowych oraz orzechów;NACE Rev. 2 class  01.25 is mapped to NACE Rev. 2.1 class  01.25
Uprawa drzew oleistych;NACE Rev. 2 class  01.26 is mapped to NACE Rev. 2.1 class  01.26
Uprawa roślin wykorzystywanych do produkcji napojów;NACE Rev. 2 class  01.27 is mapped to NACE Rev. 2.1 class  01.27
Uprawa pozostałych roślin wieloletnich;NACE Rev. 2 class  01.29 is mapped to NACE Rev. 2.1 class  01.29
Rozmnażanie roślin;NACE Rev. 2 class  01.30 is mapped to NACE Rev. 2.1 class  01.30
Chów i hodowla bydła mlecznego;NACE Rev. 2 class  01.41 is mapped to NACE Rev. 2.1 class  01.41
Chów i hodowla koni i pozostałych zwierząt koniowatych;NACE Rev. 2 class  01.43 is mapped to NACE Rev. 2.1 class  01.43
Chów i hodowla wielbłądów i zwierząt wielbłądowatych;NACE Rev. 2 class  01.44 is mapped to NACE Rev. 2.1 class  01.44
Chów i hodowla owiec i kóz;NACE Rev. 2 class  01.45 is mapped to NACE Rev. 2.1 class  01.45
Chów i hodowla świń;NACE Rev. 2 class  01.46 is mapped to NACE Rev. 2.1 class  01.46
Chów i hodowla drobiu;NACE Rev. 2 class  01.47 is mapped to NACE Rev. 2.1 class  01.47
