regon;nazwa;pkd07
0001440350017U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350031U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350042U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350043U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350057U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350059U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350061U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350062U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350066U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350067U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350071U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350075U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350076U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350078U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350079U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
0001440350080U;"PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO ""BALTONA"" SPÓŁKA AKCYJNA";4711
