pkd07;pkd25;Nazwa grupowania PKD 2007;Nazwa grupowania PKD 2025;Opis zakresu klasy/podklasy
0111;0111;Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu;Uprawa zbóż innych niż ryż, roślin strączkowych i roślin oleistych na nasiona;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0112;0112;Uprawa ryżu;Uprawa ryżu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0113;0113;Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych;Uprawa warzyw, w tym melony, oraz uprawa roślin korzeniowych i roślin bulwiastych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0114;0114;Uprawa trzciny cukrowej;Uprawa trzciny cukrowej;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0115;0115;Uprawa tytoniu;Uprawa tytoniu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0116;0116;Uprawa roślin włóknistych;Uprawa roślin włóknistych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0119;0113;Pozostałe uprawy rolne inne niż wieloletnie;Uprawa warzyw, w tym melony, oraz uprawa roślin korzeniowych i roślin bulwiastych;uprawa roślin korzeniowych i bulwiastych, na przykład brukwi i buraka liściowego
0119;0119;Pozostałe uprawy rolne inne niż wieloletnie;Pozostałe uprawy rolne inne niż wieloletnie;"uprawa koniczyny, lucerny (alfalfa), esparcety, kukurydzy pastewnej, łubinu pastewnego i pozostałych traw, kapusty pastewnej i podobnych roślin pastewnych; produkcja nasion buraka i nasion roślin pastewnych;  uprawa kwiatów; cięcie kwiatów oraz pąków kwiatowych;  growing of flower seeds"
0121;0121;Uprawa winogron;Uprawa winogron;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0122;0122;Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych;Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0123;0123;Uprawa drzew i krzewów owocowych cytrusowych;Uprawa drzew i krzewów owocowych cytrusowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0124;0124;Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych;Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0125;0125;Uprawa pozostałych drzew i krzewów owocowych oraz orzechów;Uprawa pozostałych drzew i krzewów owocowych oraz orzechów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0126;0126;Uprawa drzew oleistych;Uprawa drzew oleistych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0127;0127;Uprawa roślin wykorzystywanych do produkcji napojów;Uprawa roślin wykorzystywanych do produkcji napojów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0128;0113;Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych;Uprawa warzyw, w tym melony, oraz uprawa roślin korzeniowych i roślin bulwiastych;uprawa chili i papryki słodkiej (z rodzaju Capsicum)
0128;0128;Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych;Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych;"uprawa roślin przyprawowych i aromatycznych, wieloletnich i innych niż wieloletnie: pieprzu (z rodzaju Piper), gałki muszkatołowej, kwiatu muszkatołowego i kardamonu, anyżu, badianu i kopru włoskiego, przyprawowych lub aromatycznych, cynamonu, goździków, imbiru, wanilii, chmielu, kminku i musztardy; uprawa roślin leczniczych i narkotycznych; suszenie na słońcu przypraw i roślin aromatycznych, leczniczych i farmaceutycznych, jeśli jest związane z uprawą roślin"
0129;0129;Uprawa pozostałych roślin wieloletnich;Uprawa pozostałych roślin wieloletnich;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0130;0130;Rozmnażanie roślin;Rozmnażanie roślin;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0141;0141;Chów i hodowla bydła mlecznego;Chów i hodowla bydła mlecznego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0142;0141;Chów i hodowla pozostałego bydła i bawołów;Chów i hodowla bydła mlecznego;produkcja nasienia bydlęcego ras mlecznych
0142;0142;Chów i hodowla pozostałego bydła i bawołów;Chów i hodowla pozostałego bydła i bawołów;chów i hodowla bydła i bawołów na mięso, produkcja nasienia bydlęcego ras mięsnych
0143;0143;Chów i hodowla koni i pozostałych zwierząt koniowatych;Chów i hodowla koni i pozostałych zwierząt koniowatych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0144;0144;Chów i hodowla wielbłądów i zwierząt wielbłądowatych;Chów i hodowla wielbłądów i zwierząt wielbłądowatych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0145;0145;Chów i hodowla owiec i kóz;Chów i hodowla owiec i kóz;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0146;0146;Chów i hodowla świń;Chów i hodowla świń;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0147;0147;Chów i hodowla drobiu;Chów i hodowla drobiu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0149;0147;Chów i hodowla pozostałych zwierząt;Chów i hodowla drobiu;chów i hodowla drobiu na przykład:  przepiórek, strusi
0149;0148;Chów i hodowla pozostałych zwierząt;Chów i hodowla pozostałych zwierząt;"chów i hodowla pozostałych zwierząt, w tym częściowo udomowione, na przykład: ptaków (z wyłączeniem drobiu), owadów, królików i pozostałych zwierząt futerkowych,  reniferów; produkcja skór ptaków lub gadów, na przykład węży i żółwi"
0150;0150;Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana);Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana);podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0161;0161;Działalność usługowa wspomagająca produkcję roślinną;Działalność usługowa wspomagająca produkcję roślinną;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0162;0147;Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich;Chów i hodowla drobiu;zautomatyzowany wylęg jaj drobiu
0162;0162;Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich;Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich;"działalność związaną z chowem i hodowlą zwierząt, świadczoną za opłatą lub na podstawie umowy, w zakresie: działalności promujących rozmnażanie, wzrost produkcji zwierząt,  opieki nad stadem, wypasania cudzego inwentarza, trzebienia kogutów, czy czyszczenia kurników; działalność związana ze sztucznym zapłodnieniem; usługi stadninowe; strzyżenie owiec; usługi związane z zakwaterowaniem i opieką nad zwierzętami gospodarskimi"
0163;0163;Działalność usługowa następująca po zbiorach;Działalność usługowa następująca po zbiorach oraz obróbka nasion dla celów rozmnażania roślin;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0164;0163;Obróbka nasion dla celów rozmnażania roślin;Działalność usługowa następująca po zbiorach oraz obróbka nasion dla celów rozmnażania roślin;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0170;0170;Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową;Łowiectwo i pozyskiwanie zwierząt łownych, w tym działalność usługowa;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0210;0210;Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych;Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0220;0220;Pozyskiwanie drewna;Pozyskiwanie drewna;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0230;0230;Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna;Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0240;0240;Działalność usługowa związana z leśnictwem;Działalność usługowa związana z leśnictwem;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0311;0311;Rybołówstwo w wodach morskich;Rybołówstwo w wodach morskich;"połowy komercyjne ryb na oceanach, morzach i w wewnętrznych wodach morskich; połowy skorupiaków i mięczaków morskich, wielorybnictwo, połowy zwierząt wodnych, na przykład żółwi, kiełży morskich, osłonic, jeżowców; pozyskiwanie (poławianie, wydobywanie)  innych organizmów i materiałów morskich: pereł naturalnych, gąbek, koralowców, wodorostów, alg"
0311;0330;Rybołówstwo w wodach morskich;Działalność usługowa wspomagająca rybołówstwo i akwakulturę;"działalność usługowa wspomagająca rybołówstwo morskie, na przykład: pozostała działalność wspomagająca rybołówstwo, gdzie indziej niesklasyfikowana;  kontrola rybołówstwa morskiego (straż rybacka)"
0312;0312;Rybołówstwo w wodach śródlądowych;Rybołówstwo w wodach śródlądowych;"połowy komercyjne ryb w wodach śródlądowych; połowy skorupiaków i mięczaków w wodach śródlądowych;  połowy zwierząt wodnych w wodach śródlądowych;  pozyskiwanie surowców znajdujących się w wodach śródlądowych; pozyskiwanie pozostałych organizmów i surowców: wodorostów i alg"
0312;0330;Rybołówstwo w wodach śródlądowych;Działalność usługowa wspomagająca rybołówstwo i akwakulturę;działalność usługowa wspomagająca rybołówstwo słodkowodne, na przykład: pozostała działalność wspomagająca rybołówstwo, gdzie indziej niesklasyfikowana, kontrola rybołówstwa słodkowodnego (straż rybacka)
