symbol;nazwa
011001;Admirał
011001;Admirał floty
011001;Generał
011001;Generał broni
011001;Generał brygady
011001;Generał dywizji
011001;Kapitan
011001;Kapitan marynarki
011001;Komandor
011001;Komandor podporucznik
011001;Komandor porucznik
011001;Kontradmirał
011001;Major
011001;Marszałek
011001;OFICER  ZAWODOWY SIŁ ZBROJNYCH
011001;Podporucznik
011001;Podporucznik marynarki
011001;Podpułkownik
011001;Porucznik
011001;Porucznik marynarki
011001;Pułkownik
011001;Wiceadmirał
021001;Bosman (Podoficer w Marynarce Wojennej)
021001;Bosmanmat
021001;Chorąży
021001;Chorąży marynarki
021001;Kapral
021001;Mat
021001;Młodszy chorąży
021001;Młodszy chorąży marynarki
021001;Plutonowy
021001;PODOFICER ZAWODOWY SIŁ ZBROJNYCH
021001;Sierżant
021001;Starszy bosman
021001;Starszy chorąży
021001;Starszy chorąży marynarki
021001;Starszy chorąży sztabowy
021001;Starszy chorąży sztabowy marynarki
021001;Starszy kapral
021001;Starszy mat
021001;Starszy sierżant
031001;Marynarz
031001;Starszy marynarz
031001;Starszy szeregowy
031001;Szeregowy 
031001;SZEREGOWY ZAWODOWY SIŁ ZBROJNYCH
111101;Marszałek sejmu / senatu
111101;PARLAMENTARZYSTA
111101;Poseł
111101;Senator
111101;Wicemarszałek sejmu / senatu
111102;Minister
111102;POLITYK (MINISTER, SEKRETARZ  /  PODSEKRETARZ STANU)
111102;Prezes Rady Ministrów (Premier)
111102;Prezes urzędu centralnego / głównego
111102;Wiceprezes urzędu centralnego / głównego
111102;Wicewojewoda
111102;Wojewoda
111103;Burmistrz
111103;Prezydent miasta
111103;PRZEDSTAWICIEL WŁADZY SAMORZĄDOWEJ (MARSZAŁEK, STAROSTA, RADNY)
111103;Radny miasta / gminy
111103;Radny powiatu
111103;Radny wojewódzki
111103;Starosta powiatu
111103;Wójt
111190;POZOSTALI PRZEDSTAWICIELE WŁADZ PUBLICZNYCH
111190;Sołtys
111201;Członek zarządu w urzędzie państwowym
111201;Radca generalny w urzędzie państwowym
111201;WYŻSZY URZĘDNIK PAŃSTWOWY
111202;Ambasador
111202;Attache
111202;Konsul
111202;Radca ambasady
111202;Radca konsularny
111202;Radca poselstwa
111202;WYŻSZY URZĘDNIK PLACÓWKI DYPLOMATYCZNEJ
111290;POZOSTALI WYŻSI URZĘDNICY ADMINISTRACJI RZĄDOWEJ
111301;Sekretarz gminy
