,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31007000000,31008000000,31009000000
2016-01-01,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
