,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31007000000,31008000000,31009000000
2016-01-01,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
