text;category;label
Saccotini prosciutto crudo ;Makarony i produkty makaronowe;01.1.1.6
Chrupki Twistos fromage;Chipsy;01.1.7.5
CosmaiCaffe - Puro kawa ziarnista;Kawa;01.2.1.1
Nostalgia - Konfitura morelowa ekstra niskosłodzona;Dżemy, marmolady i miód;01.1.8.2
Hochland Ser kremowy Gouda z pomidorami i szczypiorkiem 140 g;Sery i twarogi;01.1.4.5
Karczek cielęcy;Mięso wołowe i cielęce;01.1.2.1
pieczeń rzymska Sokołów;Pozostałe przetwory mięsne;01.1.2.8
Gdańskie młyny - Mąka krupczatka z kłoskiem;Mąka i pozostałe zboża;01.1.1.2
Prymat - Przyprawa do bigosu;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Pasztet sojowy z pieczarkami Sante ;Gotowe dania;01.1.9.4
Aromat Dr.oetker pomarańczowy;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Cathedral City Extra Mature Cheddar Ser dojrzewający 200 g;Sery i twarogi;01.1.4.5
Tgq Maliny 2,5kg;Owoce mrożone;01.1.6.2
Victoria Cymes Smaki Victorii Napój jabłkowo-miętowy 250 ml;Napoje orzeźwiające;01.2.2.2
Winiary Super kisiel smak cytryny z siemieniem lnianym 27 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Cytryna - sztuka waga około 160g;Owoce świeże lub chłodzone;01.1.6.1
Morele suszone Piotr i Paweł;Owoce suszone i orzechy;01.1.6.3
Auchan - Mmm! Kiełbasa sucha z d' Auvergne;Wędliny;01.1.2.7
Sante Musli owocowe 350 g;Płatki śniadaniowe;01.1.1.7
GRAAL Szprot w sosie pomidorowym 300 g;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Kawa Vergnano espresso mielona puszka ;Kawa;01.2.1.1
Olej ryżowy Monini ;Pozostałe oleje jadalne;01.1.5.4
Ser Hochland ze Szczypiorkiem topiony plastry ;Sery i twarogi;01.1.4.5
Żelfix 3:1 Dr Oekter ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Boczek surowy wieprzowy bez skóry;Mięso wieprzowe;01.1.2.2
Knorr Menu ze smakiem Sos pieczarkowy ze śmietanką 38 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
US Tost - Chleb tostowy z ziarnami;Pozostałe wyroby piekarskie;01.1.1.4
Tesco Świeże jaja z chowu na wolnym wybiegu M 6 sztuk;Jaja;01.1.4.7
Filety śledziowe w oleju roślinnym Piotr i Paweł ;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Black Energy Gazowany napój energetyzujący o smaku kawowym 250 ml;Napoje orzeźwiające;01.2.2.2
Seko - Bismarck śledź płaty;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
