,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31007000000,31008000000,31009000000
2016-01-01,94.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,94.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,96.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,97.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,97.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,97.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,98.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,100.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,100.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,99.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,100.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,102.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,103.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
