regon;nazwa;pkd_glowne;pkdn7
'00033522600000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711Z;4711Z
'00033522600000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711Z;4719Z
'00033522600000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711Z;4722Z
'00033522600000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711Z;4724Z
'00033522600000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711Z;4725Z
'00033522600000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711Z;4729Z
'00033522600000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711Z;4751Z
'00033522600000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711Z;4759Z
'00033522600000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711Z;4941Z
'00033522600000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA;4711Z;6820Z
'00033566300000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W SIEMIATYCZACH;4711;4711
'00033566300000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W SIEMIATYCZACH;4711;5510
'00033566300000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W SIEMIATYCZACH;4711;5610
'00033566300000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W SIEMIATYCZACH;4711;6820
'00033566300000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W SIEMIATYCZACH;4711;4711Z
'00033566300000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W SIEMIATYCZACH;4711;4719Z
'00033566300000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W SIEMIATYCZACH;4711;4721Z
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;4711
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;0111Z
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;0113Z
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;0161Z
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;1071Z
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;4621Z
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;4711Z
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;4779Z
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;5210B
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;5610A
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;6820Z
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;1071
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;4675
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;5210
'00033663900000';GMINNA SPÓŁDZIELNIA SAMOPOMOC CHŁOPSKA W KONECKU;4711;5610
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;4711
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;1071Z
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;1072Z
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;2562Z
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;4391Z
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;4673Z
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;4711Z
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;4724Z
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;4941Z
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;5610A
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;6820Z
'00033696400000';GMINNA SPÓŁDZIELNIA KORONOWO;4711;1071
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;4711
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;1071
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;6820
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;1071Z
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;4711Z
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;4719Z
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;4721Z
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;4722Z
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;4725Z
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;4776Z
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;4778Z
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;5310Z
'00033849500000';SPÓŁDZIELNIA ŚWIT W TOPÓLCE;4711;6820Z
'00033987900000';SPÓŁDZIELNIA HANDLOWO-ROLNICZA W CZERNIEWICACH;4711;1071Z
