,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31009000000
2011-07-01,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-02,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-04,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-05,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-06,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-07,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-08,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-11,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-12,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-13,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-14,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-15,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-16,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-17,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-18,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-19,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-20,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-21,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-22,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-23,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-25,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-26,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-27,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-28,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-29,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-30,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-31,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-02,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-03,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-04,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-05,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-08,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-09,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-10,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-11,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-12,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-13,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-16,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-17,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-18,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-19,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
