kod czteroznakowy;Nazwa;Synteza;Zadania;Uwagi
1111;Przedstawiciele w³adz publicznych;"Przedstawiciele w³adz publicznych okreœlaj¹, formu³uj¹ i wp³ywaj¹ na politykê pañstwa oraz kieruj¹ jej realizacj¹ na szczeblu krajowym, samorz¹dowym lub miêdzynarodowym; kontroluj¹ prace rz¹du i jego agend oceniaj¹c wykonanie bud¿etu pañstwa i realizacjê zadañ przedstawionych parlamentowi do akceptacji; oceniaj¹ funkcjonowanie administracji pañstwowej; reprezentuj¹ interesy wyborców i dzia³aj¹ w ich imieniu, dysponuj¹c œrodkami materialnymi na realizacjê zleconych przez pañstwo zadañ. Do grupy tej nale¿¹ parlamentarzyœci (pose³, senator), politycy (premier, minister, prezydent) oraz przedstawiciele w³adzy samorz¹dowej (marsza³ek, prezydent miasta, burmistrz, starosta, radny).";"Zadania wykonywane przez przedstawicieli w³adz publicznych zazwyczaj obejmuj¹: przewodniczenie lub uczestnictwo w dzia³aniach organów ustawodawczych i administracji publicznej oraz okreœlanie, formu³owanie polityki w³adz na szczeblu krajowym, samorz¹dowym i miêdzynarodowym; opiniowanie projektów aktów prawnych przedstawionych przez rz¹d, ugrupowania poselskie lub zwi¹zkowe, wystêpowanie z w³asnymi inicjatywami ustawodawczymi, uchwalanie ustaw i wydawanie aktów wykonawczych do ustaw; analizowanie sytuacji politycznej, spo³ecznej i gospodarczej w pañstwie i w poszczególnych dziedzinach jego funkcjonowania; formu³owanie programów rozwoju pañstwa; udzia³ w pracach komisji powo³ywanych przez w³adze administracyjne; przygotowywanie projektów bud¿etów pañstwa i jednostek samorz¹dowych, ich uchwalanie i kontrolowanie ich wykonania; kierowanie, nadzorowanie i kontrolowanie dzia³alnoœci organów, urzêdów i jednostek administracji rz¹dowej i samorz¹dowej oraz sprawowanie nadzoru pod wzglêdem zgodnoœci ich dzia³ania z przepisami prawa; badanie kwestii istotnych dla spo³eczeñstwa i propagowane interesów wyborców, których";
1112;Wy¿si urzêdnicy administracji rz¹dowej;"Wy¿si urzêdnicy administracji publicznej kieruj¹ jednostkami organizacyjnymi struktury administracyjnej na szczeblu centralnym, lokalnym i samorz¹dowym; nadzoruj¹ interpretowanie i wdra¿anie polityki rz¹dowej i prawodawstwa przez organy administracji publicznej; reprezentuj¹ kraj poza jego granicami i dzia³aj¹ w jego imieniu; planuj¹, organizuj¹, nadzoruj¹, kontroluj¹ i oceniaj¹ dzia³alnoœæ organów administracji publicznej na szczeblu lokalnym, wojewódzkim, regionalnym i krajowym, zgodnie z prawodawstwem i polityk¹ ustanowionymi przez organy administracji publicznej i organy ustawodawcze; doradzaj¹ organom administracji publicznej w kwestiach politycznych. Grupa ta obejmuje na przyk³ad sekretarzy generalnych w kancelariach: sejmu, senatu, rz¹du, prezydenta, podsekretarzy stanu, dyrektorów generalnych w ministerstwach oraz wy¿szych urzêdników placówek dyplomatycznych.";"Zadania wykonywane przez wy¿szych urzêdników administracji publicznej zazwyczaj obejmuj¹: kierowanie okreœlon¹ jednostk¹ struktury organizacyjnej, przygotowywanie projektów ustaw lub projektów decyzji oraz zmian do nich; ustanawianie celów organów administracji publicznej lub agencji rz¹dowych zgodnie z prawodawstwem i polityk¹ pañstwa; formu³owanie lub zatwierdzanie i ocenianie programów oraz procedur dotycz¹cych wdra¿ania polityki pañstwa w oparciu
o wspólne dzia³ania i konsultacje z rz¹dem; dokonywanie przegl¹du, ocenianie i zatwierdzanie dokumentów, akt i sprawozdañ prezentowanych przez przedstawicieli w³adz samorz¹dowych oraz instytucji centralnych; opracowywanie odpowiednich procedur i wytycznych do przeprowadzania kontroli bud¿etu; koordynowanie dzia³añ z innymi urzêdnikami wy¿szego szczebla w administracji publicznej; przedstawianie do oceny programów politycznych i bud¿etu komisjom legislacyjnym i komitetom rz¹dowym; pomoc w interpretowaniu i wdra¿aniu polityki i prawodawstwa pañstwa przez organy administracji publicznej i agencje rz¹dowe. Do ich zadañ mo¿e tak¿e nale¿eæ kontrolowanie i ocenianie pracy podleg³ych pracowników.";
1113;Wy¿si urzêdnicy w³adz samorz¹dowych;"Wy¿si urzêdnicy w³adz samorz¹dowych kieruj¹ prac¹ urzêdów oraz jednostek organizacyjnych samorz¹du terytorialnego na szczeblu województwa, powiatu, miasta, gminy; podejmuj¹ decyzje wynikaj¹ce z upowa¿nieñ ustawowych oraz poleceñ otrzymywanych od zwierzchniej w³adzy samorz¹dowej; wykonuj¹ zadania i obowi¹zki o charakterze ustawodawczym, administracyjnym i przedstawicielskim, w oparciu o tradycje oraz podzia³ praw i obowi¹zków miêdzy w³adzami na szczeblu lokalnym (powiat, miasto, gmina), wojewódzkim, regionalnym oraz krajowym; reprezentuj¹ interesy obywateli, spo³ecznoœci lokalnych wobec organów administracji pañstwowej, jednostek gospodarczych i innych organizacji; dzia³aj¹ na rzecz mieszkañców (gminy, miasta, powiatu) ponosz¹c bezpoœredni¹ odpowiedzialnoœæ za swoje dzia³ania w œrodowisku lokalnym. Grupa ta obejmuje na przyk³ad so³tysów, wójtów, kierowników wydzia³ów urzêdu miasta, powiatu, gminy.";"Zadania wykonywane przez wy¿szych urzêdników w³adz samorz¹dowych zazwyczaj obejmuj¹: podejmowanie decyzji w zakresie dzia³ania urzêdu lub jednostki, którymi kieruj¹; gospodarowanie jej mieniem (przydzielanie prawa do u¿ytkowania wspólnych terenów i innych zasobów, rozstrzyganie problemów i konfliktów miêdzy cz³onkami spo³ecznoœci lokalnych); pe³nienie obowi¹zków przedstawicielskich w wa¿nych wydarzeniach; reprezentowanie spo³ecznoœci podczas posiedzeñ rad na szczeblu lokalnym (gminy, miasta, powiatu), wojewódzkim i regionalnym; informowanie spo³ecznoœci o zasadach i przepisach ustanowionych przez sejm i rz¹d. Do ich zadañ mo¿e tak¿e nale¿eæ kontrolowanie i ocenianie pracy podleg³ych pracowników.";
1114;Zawodowi dzia³acze organizacji cz³onkowskich;"Zawodowi dzia³acze organizacji cz³onkowskich okreœlaj¹, formu³uj¹ i wdra¿aj¹ politykê, program, zasady i przepisy organizacji cz³onkowskich takich jak: partie polityczne, zwi¹zki zawodowe, stowarzyszenia i organizacje spo³eczne i zawodowe, organizacje pracodawców, zrzeszenia handlu i przemys³u, organizacje pozarz¹dowe (humanitarne lub charytatywne), zwi¹zki sportowe; kieruj¹ wdra¿aniem tej polityki oraz reprezentuj¹ ich organizacje i dzia³aj¹ w ich imieniu. Grupa ta obejmuje na przyk³ad zawodowych dzia³aczy organizacji pracodawców, organizacji politycznej, organizacji pozarz¹dowej, organizacji zwi¹zkowej.";"Zadania wykonywane przez zawodowych dzia³aczy organizacji cz³onkowskich zazwyczaj obejmuj¹: okreœlanie i formu³owanie polityki, zasad i przepisów organizacji; kierowanie jednostkami organizacyjnymi; planowanie, koordynowanie i dokonywanie oceny dzia³alnoœci oraz wyników organizacji; prowadzenie negocjacji w imieniu organizacji, jej cz³onków i odpowiednich grup spo³ecznych; wspieranie interesów organizacji oraz jej cz³onków wobec w³adzy ustawodawczej, wykonawczej i spo³eczeñstwa; przedstawianie sprawozdañ radom i zarz¹dom organów zarz¹dczych, cz³onkom organizacji i agencjom finansuj¹cym; kierowanie wydzia³ami i sekcjami organizacji; wdra¿anie polityki, programów, zasad i przepisów organizacji; przygotowywanie procedur dotycz¹cych przeprowadzania kontroli bud¿etowej; monitorowanie i ocenianie wyników organizacji lub przedsiêbiorstwa; reprezentowanie organizacji podczas oficjalnych wydarzeñ, posiedzeñ zarz¹dów, negocjacji, kongresów, otwartych spotkañ i forów. Do ich zadañ mo¿e tak¿e nale¿eæ";
1120;Dyrektorzy generalni i zarz¹dzaj¹cy;"Dyrektorzy generalni i zarz¹dzaj¹cy kieruj¹ przedsiêbiorstwami i organizacjami; formu³uj¹ politykê, planuj¹, nadzoruj¹, koordynuj¹ i oceniaj¹ g³ówne funkcje przedsiêbiorstwa lub organizacji przy wsparciu kadry kierowniczej, maj¹c na uwadze cele i zadania okreœlone przez organ za³o¿ycielski, radê nadzorcz¹, przed którymi odpowiadaj¹ za podejmowane dzia³ania i ich wyniki. Grupa ta obejmuje na przyk³ad dyrektorów do spraw administracyjnych, do spraw badawczo rozwojowych, personalnych, finansowych, handlowych, marketingu, rozwoju biznesu, sprzeda¿y, technicznych, wykonawczych, prezesów, rektorów, syndyków.";"Zadania wykonywane przez dyrektorów generalnych i zarz¹dzaj¹cych zazwyczaj obejmuj¹: dzia³ania dotycz¹ce funkcjonowania przedsiêbiorstwa lub organizacji w zakresie planowania, kierowania i koordynowania; dokonywanie przegl¹du dzia³añ i wyników przedsiêbiorstwa lub organizacji oraz przedstawianie sprawozdañ radom dyrektorów i organom zarz¹dzaj¹cym; okreœlanie celów, strategii, polityki i programów przedsiêbiorstw lub organizacji; zapewnianie ogólnego przywództwa i zarz¹dzania przedsiêbiorstwu lub organizacji; ustanawianie bud¿etów i zarz¹dzanie nimi, kontrolowanie wydatków i zapewnianie efektywnego wykorzystywania zasobów; przydzielanie zasobów materialnych, ludzkich i finansowych do realizacji polityki i programów organizacyjnych; monitorowanie i ocenianie wyników organizacji lub przedsiêbiorstwa pod k¹tem ustanowionych celów i polityki; przeprowadzanie konsultacji z podleg³ymi pracownikami wy¿szego szczebla oraz dokonywanie przegl¹du zaleceñ i sprawozdañ; reprezentowanie organizacji podczas oficjalnych wydarzeñ, posiedzeñ zarz¹dów, negocjacji, kongresów, seminariów, otwartych spotkañ wyjaœniaj¹cych i forów; rekrutowanie lub akceptowanie rekrutacji pracowników wy¿szego szczebla; zapewnianie zgodnoœci dzia³alnoœci organizacji z odpowiednim prawodawstwem i uregulowaniami. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
1211;Kierownicy do spraw finansowych;Kierownicy do spraw finansowych planuj¹, nadzoruj¹ i koordynuj¹ dzia³ania finansowe przedsiêbiorstwa lub organizacji w porozumieniu z kierownikami wy¿szego szczebla i kierownikami innych dzia³ów lub sekcji. Grupa ta obejmuje na przyk³ad g³ównych ksiêgowych, kierowników biur rachunkowych, dzia³ów finansowych, itp.;"Zadania wykonywane przez kierowników do spraw finansowych zazwyczaj obejmuj¹: planowanie, koordynowanie i nadzorowanie dzia³añ zwi¹zanych z obs³ug¹ finansowo-ksiêgow¹ przedsiêbiorstwa lub organizacji oraz kierowanie nimi; dokonywanie oceny sytuacji finansowej przedsiêbiorstwa lub organizacji; planowanie wydatków i przeprowadzanie konsultacji dotycz¹cych ich celowoœci z dyrektorem";
1212;Kierownicy do spraw zarz¹dzania zasobami ludzkimi;Kierownicy do spraw zarz¹dzania zasobami ludzkimi planuj¹, nadzoruj¹ i koordynuj¹ politykê kadrow¹ instytucji, przedsiêbiorstwa, organizacji dotycz¹c¹: rekrutacji pracowników, ich rozwoju zawodowego, szkoleñ, awansów i wynagrodzeñ oraz stosunków pracy, a tak¿e dzia³añ w zakresie bezpieczeñstwa i higieny pracy. Grupa ta obejmuje na przyk³ad kierowników dzia³ów kadrowo-p³acowych, szkoleñ, zarz¹dzania zasobami ludzkimi, a tak¿e kierowników przedsiêbiorstw œwiadcz¹cych us³ugi w tym zakresie.;"Zadania wykonywane przez kierowników do spraw zarz¹dzania zasobami ludzkimi zazwyczaj obejmuj¹: planowanie i koordynowanie dzia³añ dotycz¹cych polityki kadrowej przedsiêbiorstwa lub organizacji; sta¿y i praktyk zawodowych pracowników, stosunków pracy miêdzy pracodawc¹ a pracownikiem; planowanie i organizowanie procedur dotycz¹cych rekrutacji i œcie¿ek rozwoju zawodowego pracowników: szkoleñ, awansów, ocen okresowych, zwalniania pracowników: panowanie i organizowanie negocjacji oraz procedur dotycz¹cych okreœlania struktury i poziomu p³ac; nadzorowanie stanu bezpieczeñstwa i higieny pracy oraz programów i dzia³añ w tym zakresie; planowanie i opracowywanie bud¿etów i zarz¹dzanie nimi, kontrolowanie wydatków i zapewnianie efektywnego wykorzystywania zasobów; nadzorowanie opracowania i wdra¿ania systemów informacji zarz¹dczej; zapewnianie zgodnoœci ze standardami i przepisami prawnymi dotycz¹cymi praw pracowniczych, bezpieczeñstwa i higieny pracy oraz równoœci szans pracowników; nadzorowanie rekrutacji, szkoleñ i osi¹gniêæ pracowników; przeprowadzanie konsultacji z kierownictwem wy¿szego szczebla i kierownikami innych dzia³ów w zakresie swoich kompetencji; reprezentowanie przedsiêbiorstwa lub organizacji w kontaktach z organami zewnêtrznymi; wykonywanie prac pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników oraz œwiadczenie us³ug w zakresie zarz¹dzania zasobami ludzkimi na rzecz innych przedsiêbiorstw i organizacji.";
1213;Kierownicy do spraw strategii i planowania;"Kierownicy do spraw strategicznych i zarz¹dzania planuj¹, organizuj¹, nadzoruj¹
i koordynuj¹ dzia³ania dotycz¹ce doradztwa i planowania strategicznego w ministerstwach i agencjach rz¹dowych lub w pozarz¹dowych organizacjach i agencjach sektora prywatnego; zarz¹dzaj¹ dzia³aniami przedsiêbiorstw, które œwiadcz¹ us³ugi w zakresie spraw strategicznych i planowania. Grupa ta obejmuje na przyk³ad dyrektorów departamentów, kierowników do spraw strategicznych i planowania, naczelników i kierowników wydzia³ów.";"Zadania wykonywane przez kierowników do spraw strategicznych i planowania zazwyczaj obejmuj¹: opracowywanie, wdra¿anie i monitorowanie strategicznych planów, programów, strategii, procesów, systemów i procedur w celu osi¹gniêcia celów i wymaganych standardów pracy; opracowywanie badañ i analiz strategicznych, kierowanie i zarz¹dzanie tego rodzaju badaniami i analizami oraz uczestniczenie w ich realizacji; koordynowanie i wdra¿anie zaplanowanych strategii i praktyk; kierowanie i zarz¹dzanie dzia³aniami pracowników zajmuj¹cymi siê opracowywaniem strategii i planowaniem strategicznym; nadzorowanie rekrutacji, szkoleñ i osi¹gniêæ pracowników; reprezentowanie przedsiêbiorstwa lub organizacji podczas negocjacji, kongresów, seminariów, otwartych spotkañ wyjaœniaj¹cych i forów; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
1219;Kierownicy do spraw obs³ugi biznesu i zarz¹dzania gdzie indziej niesklasyfikowani;Do tej grupy elementarnej nale¿¹ kierownicy do spraw obs³ugi biznesu i zarz¹dzania gdzie indziej nie zaklasyfikowani w ramach grupy œredniej 121 – Kierownicy do spraw obs³ugi biznesu i zarz¹dzania. Grupa ta obejmuje na przyk³ad osoby zajmuj¹ce siê kierowaniem dzia³ów administracyjno-gospodarczych, ma³ego przedsiêbiorstwa obs³ugi biznesu, ma³ego przedsiêbiorstwa us³ug osobistych, porz¹dkowych i pokrewnych.;"Zadania wykonywane przez kierowników do spraw obs³ugi biznesu i zarz¹dzania gdzie indziej niesklasyfikowanych zazwyczaj obejmuj¹: zapewnianie kierownictwu wy¿szego szczebla wsparcia, badañ i doradztwa administracyjnego, operacyjnego oraz w zakresie strategicznego planowania, w odniesieniu do kwestii takich, jak: zarz¹dzanie obiektami i us³ugami administracyjnymi; tworzenie zasobów administracyjnych i materialnych organizacji oraz zarz¹dzanie nimi; opracowywanie i wdra¿anie wytycznych dotycz¹cych spraw administracyjnych i proceduralnych do stosowania przez pracowników; analizowanie z³o¿onych kwestii dotycz¹cych zarz¹dzania zasobami i inicjatyw maj¹cych wp³yw na dzia³alnoœæ organizacji oraz przygotowywanie sprawozdañ, korespondencji i opinii na ten temat; udzielanie informacji i wsparcia w przygotowaniu sprawozdañ finansowych i bud¿etów; kierowanie i zarz¹dzanie kadr¹ administracyjn¹ oraz dbanie o jej rozwój zawodowy w celu zapewniania sprawnoœci dzia³añ biznesowych; ustalanie bud¿etów i zarz¹dzanie nimi; kontrolowanie wydatków i zapewnianie efektywnego wykorzystywania zasobów; planowanie codziennych dzia³añ i kierowanie nimi; nadzorowanie rekrutacji, szkolenia i osi¹gniêæ pracowników; reprezentowanie przedsiêbiorstwa lub organizacji podczas negocjacji, kongresów, seminariów, otwartych spotkañ; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
1221;Kierownicy do spraw marketingu i sprzeda¿y;Kierownicy do spraw sprzeda¿y i marketingu planuj¹, nadzoruj¹ i koordynuj¹ dzia³ania dotycz¹ce sprzeda¿y i marketingu prowadzone przez przedsiêbiorstwo lub organizacjê œwiadcz¹ce us³ugi w tym zakresie na rzecz innych przedsiêbiorstw i organizacji.;"Zadania wykonywane w grupie kierowników do spraw marketingu i sprzeda¿y zazwyczaj obejmuj¹: planowanie i przeprowadzanie badañ marketingowych; prowadzenie prac zwi¹zanych z rozwojem, testowaniem oraz wprowadzaniem nowych produktów i us³ug na rynek; okreœlanie cen, metod sprzeda¿y i dystrybucji; planowanie, koordynowanie i organizowanie specjalnych programów dotycz¹cych sprzeda¿y oraz programów marketingowych w oparciu o rejestry sprzeda¿y i oceny rynku; ustalanie cenników, warunków rabatów i dostaw oraz okreœlanie bud¿etów przeznaczonych na promocje sprzeda¿y, metod sprzeda¿y, specjalnych zachêt i kampanii; ustanawianie procedur operacyjnych i administracyjnych zwi¹zanych z dzia³aniami w zakresie sprzeda¿y i marketingu oraz kierowanie tymi procedurami; kierowanie i zarz¹dzanie dzia³aniami pracowników w zakresie sprzeda¿y i marketingu; ustalanie bud¿etów i zarz¹dzanie nimi, kontrolowanie wydatków i zapewnianie efektywnego wykorzystywania zasobów; nadzorowanie przebiegu rekrutacji, szkoleñ i osi¹gniêæ pracowników; przygotowywanie raportów z zakresu prowadzonych dzia³añ dla potrzeb dyrekcji przedsiêbiorstwa lub organizacji; reprezentowanie przedsiêbiorstwa lub organizacji podczas kongresów dotycz¹cych sprzeda¿y i marketingu, targów i wystaw handlowych i innych forów; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
