,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31009000000
2019-06-01,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-02,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-03,1880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-04,1480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-05,1288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-06,1368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-07,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-08,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-09,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-10,1494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-11,1249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-12,1123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-13,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-14,987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-15,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-16,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-17,1348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-18,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-19,949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-20,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-21,847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-22,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-23,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24,1381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-25,1207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-26,1159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-28,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-29,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-30,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,1930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-02,1574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-03,1406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-04,1303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-05,1206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-06,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-07,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-08,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-09,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-10,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-11,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-12,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-13,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-14,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-15,1253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
