,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31009000000
2011-07-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-08,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-12,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-13,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-14,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-15,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-17,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-18,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-19,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-20,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-21,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-22,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-25,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-26,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-27,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-28,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-29,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-02,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-03,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-04,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-05,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-06,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-08,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-09,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-11,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-12,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-16,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-17,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-18,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-20,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-21,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-22,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-23,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-24,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-25,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-26,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-27,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-29,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-30,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-31,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-02,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-03,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-04,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-05,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-06,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-07,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-08,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-09,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-10,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-11,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-12,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-13,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-14,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-15,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-16,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-19,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-20,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-21,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-22,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-23,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-24,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-26,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-27,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-28,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-29,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-30,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-02,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-03,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-04,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-05,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-06,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-07,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-08,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-09,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-10,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-11,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-12,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-13,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-14,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-15,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-17,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-18,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-19,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-20,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-21,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-22,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-23,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-24,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-25,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-26,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-27,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-28,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-29,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-30,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-31,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
